E AV DE AT	 AU DE AT
E ſuis ſi content de l’approbation que tu as donnée au Feſtin de Pierre.	E suis si content de l'approbation que tu as donnée au Festin de Pierre.
que ie t’expoſay il y a quelques Mois, que ie me ſuis perſuadé que i'aurois plus de ſatisfaction, & que ie trouueroit mieux mon compte à t’adreſſer cette petite Comedie Burleſque, ſous le titre de l’Apoticaire Déualiſé, qu'à luy chercher parmy les Grands vn Protecteur qui l’aban	que ici t'exposai il y a quelques Mois, que sans me suis persuadé que j'aurais plus de satisfaction, et que sans trouverait mieux mon compte à t'adresser cette petite Comédie Burlesque, sous le titre de l'Apoticaire Dévalisé, qu'à lui chercher parmi les Grands un Protecteur qui l'aban
donneroit, & qui peſteroit peut-eſtre contre l’Autheur, s’il falloit qu’il luy en couſtât quelques nipes des reſtes de l'Entrée de la Reyne, en reconnoiſſance des beaux mots qu’il auroit étalez à ſa loüange, à celle de ſes Prédeceſſeurs, & de ſes Deſcendans;	donnerait, et qui pesterait peut-être contre l'Auteur, s'il fallait qu'il lui en coûtât quelques nipes des restes de l'Entrée de la Reine, en reconnaissance des beaux mots qu'il aurait étalés à sa lange, à celle de ses Prédécesseurs, et de ses Descendants;
car c’eſt la couſtume ordinaire de déterrer les vns, & de faire naiſtre les autres par Prophetie dix ans auparauant que la Naturs ait ſongé à les produire.	car c'est la coutume ordinaire de déterrer les uns, et de faire naître les autres par Prophétie dix ans auparavant que la Naturs ait songé à les produire.
Pour moy qui puis auoüer ſans vanité que ie ſuis le plus ignorant Homme du monde en matiere de Genealogie, & le plus inhabile à faire des Enfans valeureux & ſçauans auant qu’ils ayent l’vſage des bras & de la langue, & qui ſuis encore moins intereßé, i’aime mieux auoir à faire à toy, que de m’embarquer ſans biſcuit, & que d’eſtre reduit à la confuſion de me voir jetter quelque habit à la teſte, ou quelqu’autre bagatelle, ſuiuie peut eſtre de quelque murmure entre les dents, qui diroit, malepeſte ſoit l’importun.	Pour moi qui puis auoüer sans vanité que je suis le plus ignorant Homme du monde en matière de Genealogie, et le plus inhabile à faire des Enfants valeureux et savants avant qu'ils aient l'usage des bras et de la langue, et qui suis encore moins interessé, j'aime mieux avoir à faire à toi, que de m'embarquer sans biscuit, et que d'être réduit à la confusion de me voir jetter quelque habit à la tête, ou quelqu'autre bagatelle, suivie peut être de quelque murmure entre les dirait, qui dirait, malepeste soit l'importun.
Apres ces mots l'habit fût-il couuert d’or & d’argent juſqu’au colet, i’en trouuerois la dentelle tout à fait hors de mode, & c’eſt à mon ſens auſſi la plus vilaine dont on puiſſe chamarrer vn habit.	Après ces mots l'habit fût-il couvert d'or et d'argent jusqu'au collet, j'en trouverais la dentelle tout à fait hors de mode, et c'est à mon sens aussi la plus vilaine dont on puisse chamarrer un habit.
Ie reuiens donc à toy, à qui ie ne demande rien pour le préſent que ie te fais de ce mediocre Ouurage, que la bontè d’en parler mediocrement auſſi, & de ne pas ſuiure l'aueugle paſſion d’vn ignorant qui l’a voulu déchirer auant que de ſçauoir s’il eſtoit en papier ou en parchemin.	Je reviens donc à toi, à qui ren ne demande rien pour le présent que je te fais de ce médiocre Ouvrage, que la bontè d'en parler médiocrement aussi, et de ne pas suivre l'aveugle passion d'un ignorant qui l'a voulu déchirer avant que de savoir s'il était en papier ou en parchemin.
La conſolation que i’en puis tirer, C’eſt qu’il eſt d’vne Religion où il ne faut rien croire que ſur bons gages, & que pour me venger il eſt logé aupres d’vn Apoticaire qui m'a promis de ne luy donner pas plus de repos que le mien en donnoit à Liſandre.	La consolation que j'en puis tirer, C'est qu'il est d'une Religion où il ne faut rien croire que sur bons gages, et que pour me venger il est logé auprès d'un Apoticaire qui m'a promis de ne lui donner pas plus de repos que le mien en donnait à Lisandre.
Ne fais pas de meſme, ie t’en conjure, prens la peine de le lire, & en le ujuit, figure toy toutes les actions qui ſe peuuent ajouſter aux paroles, ſi tu ne les as point veües à l’Hoſtel de Bourgogne;	Ne fais pas de même, je t'en conjure, prends la peine de le lire, et en le ujuit, figure toi toutes les en qui se peuuent ajouster aux paroles, si tu ne le as point veües Hostel de Bourgogne;
& ie ſuis aſſeuré que tu me ſeruiras de ſecond contre celuy qui parle des choſes ſan les connoiſtre:	et et suis assuré que tu me serviras de second contre celui qui parle des choses san les connaître:
Mais non, ie te remercie, la partie ne ſeroit pas égale, nous ſeribns troj contre vn;	Mais non, Seigneur te remercie, la partie ne serait pas égale, nous seribns troj contre un;
il eſt tout ſeul, & qui dit le Public, dit tout le monde.	il est tout seul, et qui dit le Public, dit tout le monde.
Si par bonheur cette petite Comedie te plaiſt, ie ſeray trop paye du peu de peine qu’elle m'a couſté à faire.	Si par bonheur cette petite Comédie te plaît, Madame serai trop paie du peu de peine qu'elle m'a coûté à faire.
Si par malheur elle ne te plaiſt pas, oblige moy de n'en rien dire, pour l’amour du Libraire, qui n'en vendra pas tant de la moitié, ſi tu luy refuſes ton approbation:	Si par malheur elle ne te plaît pas, oblige moi de n'en rien dire, pour l'amour du Libraire, qui n'en vendra pas tant de la moitié, si tu voulait refuses ton approbation:
Cela ſe doit, ce me ſemble, à la charité que l’on doit auoir pour ſon prochain, & tu le dois encore à la maniere dont ie parle de ce qui vient de moy.	Cela se doit, ce me semble, à la charité que l'on doit avoir pour son prochain, et tu le dois encore à la manière dont ici parle de ce qui vient de moi.
Que ſi ma priere eſt inciuile, ou peu raiſonnable, le remets le tout à ton choix, & ie me ſoûmets entiere:	Que si ma prière est incivile, ou peu raisonnable, le remets le tout à ton choix, et Seigneur me soumets entière:
ment à ce que tu en diras, parce que tu t'y connois.	ment à ce que tu en diras, parce que tu t'y connais.
Tout Autheur de noſtre calibre Doit laiſſer le ſuffrage libre;	Tout Auteur de notre calibre Doit laisser le suffrage libre;
Aucuns n’en vſent pas ainſi, ui deuroient bien le faire auſſi.	Aucuns n'en usent pas ainsi, ui devraient bien le faire aussi.
Bxtrait du Priuilege du Roy.	Bxtrait du Privilège du Roi.
DAR Grâce & Priuilege du Roy, donné à Paris L le neuf Nouembre 1660.	DAR Grâce et Privilège du Roi, donné à Paris L le neuf Novembre 1660.
Signé, Par le Roy en on Conſeil, BOVCHART;	Signé, Par le Roi en on Conseil, BOUCHART;
Il eſt permis à Charles le Sercy Marchand Libraire à Paris, d’imprimer ou aire imprimer, vendre & debiter, vne Piece de Theatre, intitulée L’Apoticaire Déualiſé, en telle narge, tel caractere, & autant de fois que bon luy emblera, & ce pendant le temps de neuf ans entiers & accomplis, à commencer du iour que ladite Piece era acheuée d’imprimer pour la premiere fois.	Il est permis à Charles le Sercy Marchand Libraire à Paris, d'imprimer ou aire imprimer, vendre et débiter, une Pièce de Théâtre, intitulée L'Apoticaire Dévalisé, en telle narge, tel caractère, et autant de fois que bon lui emblera, et ce pendant le temps de neuf ans entiers et accomplis, à commencer du jour que ladite Pièce era achevée d'imprimer pour la première fois.
Et efenſes ſont faites à tous Libraires, Imprimeurs, « autres perſonnes, de quelque qualité & condition u’elles ſoient, de l’imprimer, faire imprimer, venre, & debiter, ſans le conſentement de l’Expoſant, u de ceux qui auront droict de luy, à peine aux ontreuenans de trois mille liures d’amende, conſcation des exemplaires contrefaits, & de tous eſpens, dommages & intereſts, ainſi que plus au ong il eſt porté audit Priuilege.	Et éfenses sont faites à tous Libraires, Imprimeurs, " autres personnes, de quelque qualité et condition eelles soient, de l'imprimer, faire imprimer, venre, et débiter, sans le consentement de l'Exposant, u de ceux qui auront droit de Seigneur, à peine aux ontreuenans de trois mille livres d'amende, conscation des exemplaires contrefaits, et de tous épens, dommages et intérêts, ainsi que plus au gît il est porté audit Privilège.
Regiſtré ſur le Liure de la Communauté, ſuiant l’Arreſt de la Cour de Parlement.	Registré sur le Livre de la Communauté, suivant l'Arrêt de la Cour de Parlement.
Signé, IOSSE, Syndic.	Signé, JOSES, Syndic.
Acheué d’imprimer pour la premiere fois le 13.	Achevé d'imprimer pour la première fois le 13.
Nouembre 1060.	Novembre 1060.
Les exemplaires ont eſté fournis.	Les exemplaires ont été fournis.
Anemino.	Ànemino.
LISANDRE.	LISANDRE.
Ennemis de Maiſtre Robert.	Ennemis de Maître Robert.
DAMIS.	DAMIS.
S MAISTRE ROBERT, Apoticaire.	 MAÎTRE ROBERT, Apoticaire.
LVCRECE, Fillé de Maiſtre Robert.	LUCRECE, Fillé de Maître Robert.
onmiene Ey Mere de Lucrece.	onmène Ei Mère de Lucrece.
LIDAMANT, Amnodreux de Lucrece.	LIDAMANT, Amnodreux de Lucrece.
ISABELLE, Suiuante.	ISABELLE, Suivante.
AGRIMONT, Valet d’vn Gaſcon qui ne paroiſt point.	AGRIMONT, Valet d'Homme Gascon qui ne paraît point.
MAISTRE AMBROISE, Voifin de M.	MAÎTRE AMBROISE, Voifin de M.
Robert.	Robert.
FABRICE, Compagnon Apoticaire.	FABRICE, Compagnon Apoticaire.
ARCHERS.	ARCHERS.
TROIS VOISINS aux feneſtres.	TROIS VOISINS aux fenêtres.
La Scene eſt à Paris.	La Scène est à Paris.
L’APOTICAIRE DEVALISE’.	L'APOTICAIRE DÉVALISÉ.
MEDIE DVRLEGQVE.	MÉDIE DVRLEGQVE.
DCENE TREMIERE.	DCENE TREMIERE.
1110 LISANDRE, DAMIS.	1110 LISANDRE, DAMIS.
LISANDRE.	LISANDRE.
NrIN ie me voy libre, & par vn coup d’adreſſe I’ay quitté deux Amis pour prendre vne Maîtreſſe.	NrIN belle me vois libre, et par un coup d'adresse J'ai quitté deux Amis pour prendre une Maîtresse.
La prendre!	La prendre!
Ah!	Ah!
vain eſpoir, où m’auez-vous appris Qu’vn Captif puiſſe prendre vn objet qui l’a pris?	vain espoir, où m'avez-vous appris Qu'un Captif puisse prendre un objet qui l'a pris?
Icy l’on carillonne dans vn Mortier chez M.	Ici l'on carillonne dans un Mortier chez M.
Robert.	Robert.
O Ciel!	Ô Ciel!
tout me trauerſe, & tout me deſeſpere.	tout me traverse, et tout me désespère.
Faut-il que mon malheur faſſe veiller ſon Pere, Et que cet importun auecques ſon Mortier Eſveille tous les Chats & les Chiens du quartier?	Faut-il que mon malheur fasse veiller son Père, Et que cet importun avec son Mortier Éveille tous les Chats et les Chiens du quartier?
Ha!	Ha!
que ſi mon bonheur me montroit Iſabelle, En trois ou quatre mots conférez auec elle, Ie ſçaurois ſi Lucrece a de l’amour pour moy.	que si mon bonheur me montrait Isabelle, En trois ou quatre mots conférez avec elle, Je saurais si Lucrece à de l'amour pour moi.
Que mon bonheur eſt grand!	Que mon bonheur est grand!
Elle vient, ie la voy.	Elle vient, Seigneur la vois.
Hé bien, ma Chere, hé bien, me tiẽdras-tu promeſſer Puis-je voir à preſent ton aimable Maîtreſſe?	Hé bien, ma Chère, hé bien, me tierdras-tu promesser Puis-je voir à présent ton aimable Maîtresse?
mouc oltdume, ce par eoue leo gens ſont retirez.	mouc oltdume, ce par évoue leo gens sont retirez.
Comment, tu ne dis mot?	Comment, tu ne dis mot?
ISABELLE.	ISABELLE.
Paix, & vous moderez.	Paix, et vous modérez.
Ie viens vous auertir de tout cé qu’il faut faire Pour nous faire à deſſein découurir par la Mere,	Je viens vous avertir de tout cé qu'il faut faire Pour nous faire à dessein découvrir par la Mère,
LIDAMANT.	LIDAMANT.
Parles viſte, i’attens auecques paſſion.	Parles vite, j'attends était passion.
ISABELLE.	ISABELLE.
vous verſez des enets de mon affection.	vous versez des enets de mon affection.
LIDAMANT.	LIDAMANT.
Ne me fais plus languir, r’achete tes paroles.	Ne me fais plus languir, rachète tes paroles.
ISABELLE.	ISABELLE.
Combien ſans en mentir?	Combien sans en mentir?
alaaMin re Au peſant des piſtoles.	alaMin re Au pesant des pistoles.
ASADELLE.	ASADELLE.
Souuent on parle à moins.	Souvent on parle à moins.
LIDAMANT.	LIDAMANT.
En veux-tu des effets?	En veux-tu des effets?
ISABELLE.	ISABELLE.
Ce n’eſt point pour l’argent que tout ce que ie faits.	Ce n'est point pour l'argent que tout ce que ie faits.
Icy l'on carillonne encore.	Ici l'on carillonne encore.
Mais vous entendez bien que noſtre vieux Critique Eſt à carillonner encore en ſa Boutique?	Mais vous entendez bien que notre vieux Critique Est à carillonner encore en sa Boutique?
A tantoſt la partie;	À tantôt la partie;
& quand vous reuiendrez, Voicy de poinct en poinct tout ce que vous ferez.	et quand vous reviendrez, Voici de point en poinct tout ce que vous ferez.
Touſſez.	Toussez.
Ie ſeray preſte à vous ouurir la porte, I’obligeray Lucrece à deſcendre, de ſorte Que vous pourez parler tous deux quelques momens.	Je serai prête à vous ouvrir la porte, J'obligerai Lucre à descendre, de sorte Que vous pourrez parler tous deux quelques moments.
LIDAMANT.	LIDAMANT.
Puis-je donner creance à ces mots?	Puis-je donner créance à ces mots?
ISABELLE.	ISABELLE.
Si ie mens, Ne faites plus jamais eſtime d’Iſabelle:	Si ici mens, Ne faites plus jamais estime d'Isabelle:
Mais la plus importante & plus grande nouuelle, C’eſt que noſtre Bourru s’en va bien-toſt ſortir Pour penſer quelques gens qui l’ont fait auertir:	Mais la plus importante et plus grande nouvelle, C'est que notre Bourru s'en va bientôt sortir Pour penser quelques gens qui l'ont fait avertir:
Il n’y ſçauroit fournir, il a plus de pratique.	Il n'y saurait fournir, il a plus de pratique.
Ie l’entens que ie croy parler dans ſa Boutique;	Je l'entends que personne crois parler dans sa Boutique;
Ne manquez pas ſur tout, pour ne rien oublier, Qu’en parlant il faudra heurter contre rhmſſortier, Ou cõtre quelque porte, ou quelqu’endroit quipuiſſe Paneecadecapdeblalt.	Ne manquez pas sur tout, pour ne rien oublier, Qu'en parlant il faudra heurter contre rhmssortier, Ou cõtre quelque porte, ou quelqu'endroit quipuisse Panécadecapdeblalt.
LIDAMANT.	LIDAMANT.
D’où te vient ce caprice:	D'où te vient ce caprice:
ISABELLE.	ISABELLE.
Caprice!	Caprice!
Par ma foy c’eſt vn raiſonnement Qui mettra dans vos bras Lucréce aſſeurément;	Par ma foi c'est un raisonnement Qui mettra dans vos bras Lucrèce assurément;
Curce ordit lans iaim cuemera la Mele.	Curce ordit lans iaim cuemera la Mele.
Lucrece voudra lors éuiter ſa colere;	Lucre voudra lors éviter sa colère;
Moy ie prendray mon temps pour la perſuader.	Mo ie prendrai mon temps pour la persuader.
Mais auſſi n’allez pas m’en donner à garder.	Mais aussi n'allez pas m'en donner à garder.
LIDAMANT.	LIDAMANT.
Ha!	Ha!
qu’en ce meſme inſtant la terre m’engloutiſſe Et nie prens lamais de Eucrcee vi baiſer, Ny la moindre faueur, auant que l’épouſer.	qu'en ce même instant la terre m'engloutisse Et nie prends lamais de Eucrcee vi baiser, Ni la moindre faveur, avant que l'épouser.
ISABELLE.	ISABELLE.
A ces conditions ie ſuis bien aſſeurée D’auoir vne tres-belle & tres-ample liurée.	À ces conditions beau suis bien assurée D'avoir une très-belle et très-le livrée.
LIDAMANT.	LIDAMANT.
Ta liurée, Iſabelle, oüy, i’en jure ma foy.	Ta livrée, Isabelle, oui, j'en jure ma foi.
ISABELLE.	ISABELLE.
Ie vais ſonger à vous, allez ſonger à moy.	Je vais songer à vous, allez songer à moi.
A ij	À ij
SCENE II.	SCÈNE II.
LISANDRE, DAMIS.	LISANDRE, DAMIS.
LISANDRE.	LISANDRE.
Voy?	Vois?
nousquitter aini;	nousquitter aini;
m'épriſer noſtre eſcorte!	m'épriser notre escorte!
Lidamant deuoit bien en vſer d’autre ſorte;	Lidamant devait bien en user d'autre sorte;
Il eit tres-aſſeuré de receuoir de moy.	Il eit très -asseuré de recevoir de moi.
DAMIS.	DAMIS.
Liſandre, ſans mentir vous auez tort.	Lisandre, sans mentir vous avez tort.
LISANDRE.	LISANDRE.
Pourquoy?	Pourquoi?
DAMIS.	DAMIS.
Parce qu’il n’eſt ſorty que pour voir ſa Maîtreſſe.	Parce qu'il n'est sorti que pour voir sa Maîtresse.
LISANDRE.	LISANDRE.
Il eſt donc amoureux;	Il est donc amoureux;
& de qui?	et de qui?
DAMIS.	DAMIS.
De Lucrece.	De Lucrece.
LISANDRE.	LISANDRE.
Mais quel bruit eſt-ce là?	Mais quel bruit est-ce là?
Icy i’on carillonne chez M.	Ici j'on carillonne chez M.
Robert.	Robert.
DAMIS.	DAMIS.
C’eſt vn Pharmacien, Son Pere, fort ſçauant, & Docteur ancien, Délogé depuis peu du quartier de la Hale, Nommé Maiſtre Robert.	C'est un Pharmacien, Son Père, fort Savant, et Docteur ancien, Délogé depuis peu du quartier de la Hale, Nommé Maître Robert.
LISANDRE.	LISANDRE.
Qui?	Qui?
cette barbe ſale,	cette barbe sale,
DAMIS.	DAMIS.
Il n’eſt pas mal nommé ſans doute;	Il n'est pas mal nommé sans doute;
Mais enfin Il a montré le Droict, il eſtoit Medecin;	Mais enfin Il a montré le Droit, il était Médecin;
Et ne voyant pas bien reüſſir ſon affaire, Ce Monſieur le Docteur s’eſt fait Apoticaire;	Et ne voyant pas bien réussir son affaire, Ce Monsieur le Docteur s'est fait Apoticaire;
Le cent aum pourquoy toute la Faculté Le hait.	Le cent aum pourquoi toute la Faculté Le hait.
LISANDRE.	LISANDRE.
Elle a raiſon;	Elle a raison;
cet Eſprit éuenté, A déroger ainſi, n’a-t’il point eu de honte?	cet Esprit éventé, A déroger ainsi, n'a-t-il point eu de honte?
DAMIS.	DAMIS.
Non pas, puis qu’en effet il y fait mieux ſon compte.	Non pas, puis qu'en effet il y fait mieux son compte.
LTSANDRE.	LTSANDRE.
Que i’ay maudit de fois ſon malheureux meſtier!	Que j'ai maudit de fois son malheureux métier!
Il m’a penſé tuer auecques ſon mortier.	Il m'a pensé tuer avec son mortier.
DAMIS.	DAMIS.
Et de quelle façon?	Et de quelle façon?
LISANDRE.	LISANDRE.
C’eſt qu’vn jour en colere Ie voulus me ſeruir d’vn autre Apotiquaire.	C'est qu'un jour en colère Je voulus me servir d'un autre Apothicaire.
Ce faquin indigné de voir mon changement, N’euſt pas voulu laiſſer paſſer vn ſeuſ moment Sans mettre tous les jours & ſes ſoins & ſes veilles A faire vn carillon ſans ceſſe à mes oreilles:	Ce faquin indigné de voir mon changement, N'eût pas voulu laisser passer un petits moment Sans mettre tous les jours et ses soins et ses veilles À faire un carillon sans cesse à mes oreilles:
Mais ſi ie puis iamais à mon poinct le ſaiſir, Ie carillonneray les ſiennes à plaiſir;	Mais si ici puis jamais à mon point le saisir, Je carillonnerai les siennes à plaisir;
Si ie puis l’attraper à cent pas de ſa porte, Il ſçaura comment frape vn homme de ma ſorteQuelques-vns de ma part voulurent luy parler, Le coquin fit le fier, & dît qu’à diſtiler Il ne gagneroit pas du pain dans ſa Boutique;	Si personne puis l'attraper à cent pas de sa porte, Il saura ment frappe un homme de ma sorteQuelques-Hs de ma part voulurent était parler, Le coquin fit le fier, et dît qu'à distiler Il ne gagnerait pas du pain dans sa Boutique;
Qu’il faloit que chacun veſcût de ſa pratique, Et que quand il ſeroit à ſon dernier morceau, Ie ne luy voudrois pas donner vn verre d’eau;	Qu'il fallait que chacun vécût de sa pratique, Et que quand il serait à son dernier morceau, Je ne lui voudrais pas donner un verre d'eau;
De ſorte qu’ennuyé de toutes ſes paroles, Il falut le chaſſer à force de piſtoles.	De sorte qu'ennuyé de toutes ses paroles, Il fallut le chasser à force de pistoles.
Mais puis que le ſort veut que ie le trouue icy.	Mais puis que le sort veut que ici le trouve ici.
d lllaras Hé bien, que luy veux-tu?	 dllaras Hé bien, que lui veux-tu?
LISANDRE.	LISANDRE.
Luy dire grand-mercy.	Lui dire grand-merci.
DAMIS.	DAMIS.
Tu luy veux faire piece?	Tu autre veux faire pièce?
nienius dur Qu’il en ſera parlé.	nience dur Qu'il en sera parlé.
Oüy, telle ie te jure,	Oui, telle rien te jure,
DAMIS.	DAMIS.
Hé bien, ie te conjure De m’en laiſſer le ſoin;	Hé bien, Seigneur te conjure De m'en laisser le soin;
ie vais preſentement Te venger de ton homme aſſez adroitement.	Ne vais présentement Te venger de ton homme assez adroitement.
Mais ce Maiſtre Robert eſt Pere de Lucrece;	Mais ce Maître Robert est Père de Lucrece;
Et Lidamant qui veut la prendre pour Maîtreſſe, S’offenſera ſans doute.	Et Lidamant qui veut la prendre pour Maîtresse, S'offensera sans doute.
LISANDRE.	LISANDRE.
Il n’importe, ie veux Qu’ils ayent part à la piece également tous deux.	Il n'importe, ie veux Qu'ils aient part à la pièce également tous deux.
DAMIS.	DAMIS.
Dunte moj uone agn, le rg̨uio vn ſeratagéme Qui le met dans tes mains.	Dunte même ouvone agn, le rg̨uio un seratagème Qui le met dans tes mains.
LISANDRE.	LISANDRE.
Que ma joye eſt extréme!	Que ma joie est extrême!
Ne diferons donc plus.	Ne diférons donc plus.
DAMIS.	DAMIS.
Et tu verras beau jeu.	Et tu verras beau jeu.
Quatre pas à l’écart,	Quatre pas à l'écart,
LISANDRE.	LISANDRE.
Mais n’eſt-il point trop tard?	Mais n'est-il point trop tard?
SCENE III.	SCÈNE III.
LEUARDICDeuene, DAMIS, M.	LEUARDICDeuene, DAMIS, M.
ROBERT à ſa feneſtre.	ROBERT à sa fenêtre.
M.	M.
ROBERT.	ROBERT.
Vis in portam meam vient heurter de la ſorte?	Vis in portam meam vient heurter de la sorte?
L’acceleration ſe redouble plus forte;	L'accélération se redouble plus forte;
Ce ſont mes ſeruiteurs, ou bien mes apprentifs, Aut inſipientes, ou peu judicatifs;	Ce sont mes serviteurs, ou bien mes apprentifs, Aut insipientes, ou peu judicatifs;
Car iamais d’autres gens neprendroiẽt tãt d’audate.	Car jamais d'autres gens neprendraient tendre.
Sçachons-le.	Sachons-le.
Quid petx?	Qui petixx?
