E AV DE AT	 AU DE AT
Cardasi.	Cardasi.
Enſeignez-moy, de grace, La maiſon où demeure vn Pharmacien expert, Et Docteur à moitié, nommé Maiſtre Robert.	Enseignez-moi, de grâce, La maison où demeure un Pharmacien expert, Et Docteur à moitié, nommé Maître Robert.
M.	M.
ROBERT.	ROBERT.
Il eſt Monſieur pour vous, il n’eſt Maiſtre ny Sire, Mais Docteur omnino, quoy que vous puiſſiez dire.	Il est Monsieur pour vous, il n'est Maître ni Sire, Mais Docteur omno, quoi que vous puissiez dire.
voue cuaallen anana de ly palrauuer	voue cuaallen ana de li palrauver
DAMIS.	DAMIS.
C’eſt doncques à luy-meſine à qui ie parle icy?	C'est donc à lui-mène à qui jours parle ici?
M.	M.
ROBERT.	ROBERT.
Ita, vous luy parlez en ſa propre perſonne.	Ita, vous lui parlez en sa propre personne.
DAMIS.	DAMIS.
Que le Ciel ſoit loüé du bonheur qu’il me donne!	Que le Ciel soit loué du bonheur qu'il me donne!
Puis qu’enfin par vos ſoins il ſera ſecouru.	Puis qu'enfin par vos soins il sera secouru.
M.	M.
ROBERT.	ROBERT.
DAMIS.	DAMIS.
Ce pauure Seigneur pour qui i’ay tant couru.	Ce pauvre Seigneur pour qui j'ai tant couru.
Ouurez.	Ouvrez.
M.	M.
ROBERT.	ROBERT.
Neſcio vos, il n’eſt pas neceſſaire, Parlez, & nous verrons ce qu’il conuiendra faire.	Nescio vos, il n'est pas nécessaire, Parlez, et nous verrons ce qu'il conviendra faire.
Helas!	Hélas!
DAMIS.	DAMIS.
M.	M.
ROBERT.	ROBERT.
Mais viſte, auce clarinication, Car non intelligo voſtre locution, Non plus que la teneur de ſa ſignifiance.	Mais vite, auce clarinication, Car non intelligo vôtre locution, Non plus que la teneur de sa signifiance.
DAMTO.	DAMTO.
Ha!	Ha!
Docteur, il y va de voſtre conſcience, Si vous laiſſez mourir ce pauure Caualier.	Docteur, il y va de votre conscience, Si vous laissez mourir ce pauvre Cavalier.
M.	M.
ROBERT.	ROBERT.
Ay-je comme Socrate vn Eſprit familier?	Ai-je comme Socrate un Esprit familier?
Et ſans eſtre sorcier, raut-il que ie deuine?	Et sans être sorcier, raut-il que . devine?
DAMIS.	DAMIS.
Comment, vous n’auez pas fait cette Medecine Pour mon Maiſtre?	Comment, vous n'avez pas fait cette Médecine Pour mon Maître?
M.	M.
ROBERT.	ROBERT.
Nenny.	Nenni.
EIMTJ.	EIMTJ.
Parlez-vous tout de bon?	Parlez-vous tout de bon?
M.	M.
KOBERT.	OBERT.
Voulez-vous point parler de ce Seigneur Gaſcont Eſtes-vous Agrimont ſon Valet?	Voulez-vous point parler de ce Seigneur Gascont Êtes-vous Agrimont son Valet?
DAMIS.	DAMIS.
Oüy, moy-méme.	Oui, moi-même.
M.	M.
ROBERT.	ROBERT.
Ie m’en vay trauailler en diligence extréme;	Je m'en vais travailler en diligence extrême;
Attendez vn moment.	Attendez un moment.
DAMIS.	DAMIS.
Viſte, car ie crains fort Que ſi vous retardez, nous ne le trouuions mort.	Vite, car voulez crains fort Que si vous retardez, nous ne le trouvions mort.
un nevelr.	un nevelr.
Quel eſt ſon mal?	Quel est son mal?
DAMIS.	DAMIS.
Vn grand débordement de bile.	Un grand débordement de bile.
M.	M.
ROBERT.	ROBERT.
Auecques diligence & properation;	Avecques diligence et propération;
indis le ll eipergro pue que cette potion.	indis le ll eipergro pue que cette potion.
Se donnât que Ieudy, qui ſera ce me ſemble Perendino die.	Se donnât que Jeudi, qui sera ce me semble Pérendino die.
Hil Mlo.	Hil Mlo.
Helas!	Hélas!
Monſieur, ie tremble.	Monsieur, Seigneur tremble.
De crainte qu’il ne meure auant le Mercredy.	De crainte qu'il ne meure avant le Mercredi.
M.	M.
ROBERT.	ROBERT.
Vrayment Seruus meus eſt vn franc étourdy.	Vraiment Servus meus est un franc étourdi.
DAMIS.	DAMIS.
Monſieur, ie luy donnay moy-même l’Ordonnance.	Monsieur, ie luy donnai moi-même l'Ordonnance.
M.	M.
ROBERT.	ROBERT.
Ie m’en vais trauailler à ſa conualeſcence;	Je m'en vais travailler à sa convalescence;
Retrogradez chez vous, ie vous ſuiuray de pres.	Retrogradez chez vous, je vous suivrai de pres.
DAMIS.	DAMIS.
Au moins prenez bien garde, en faiſant vos apreſts, De quelque qui pro quo.	Au moins prenez bien garde, en faisant vos apprêts, De quelque qui pro quo.
M.	M.
ROBERT, Vous eſtes vn mal ſage;	ROBERT, Vous êtes un mal sage;
Ie n’en ay iamais fait dans mon apprentiſſage, Ignorantiſſime, à plus forte raiſon Tempore præſenti, que i’ay le poil griſon;	Je n'en ai jamais fait dans mon apprentissage, Ignorantissime, à plus forte raison Tempore præsenti, que j'ai le poil grison;
Mais il faut excuſer vne ignorance craſſe.	Mais il faut excuser une ignorance crasse.
Ie marche ſur vos pas.	Je marche sur vos pas.
DAMIS.	DAMIS.
Adieu donc.	Adieu donc.
LISANDRE.	LISANDRE.
Que i’embraſſe L’homme le plus adroit qui ſoit dans l’Vniuers.	Que j'embrasse L'homme le plus adroit qui soit dans l'Univers.
Elceuton te fledictee elpln de dadtia.	Elçuton te flèdictée elpln de dadtia.
SCENE IV.	SCÈNE IV.
MAISTRE ROBERT, FABRICE, LISANDRE, & DAMIS cachez.	MAÎTRE ROBERT, FABRICE, LISANDRE, et DAMIS cachez.
M.	M.
AeODiR Etans ju vontique.	AeODivr Étant ju vontique.
TAbrice.	TAbrice.
FABRICE.	FABRICE.
Domine.	Domine.
M.	M.
ROBERT.	ROBERT.
Cherchez dans la Boutique Potionem factam pour ce mélancolique Qui mourut l’autre jour?	Cherchez dans la Boutique Potionem factam pour ce mélancolique Qui mourut l'autre jour?
TABRICE.	TABRICE.
Helas!	Hélas!
qu’en ay-je fait?	qu'en ai-je fait?
M.	M.
ROBERT.	ROBERT.
Vous la rencontrerez dedans ce Cabinet Que le flanc du contoir regarde en perſpectiue.	Vous la rencontrerez dedans ce Cabinet Que le flanc du contoir regarde en persectiue.
FABRICE.	FABRICE.
Quel eſt ſon écriteau?	Quel est son écriteau?
M.	M.
ROBERT.	ROBERT.
Potion laxatiue Pour Monſeigneur le Duc de Mataramadon, Lieutenant General, Marquis de Bombardon, Comte de Carafax, & Baron de Moucade.	Potion laxative Pour Monseigneur le Duc de Mataramadon, Lieutenant Général, Marquis de Bombardon, Comte de Carafax, et Baron de Moucade.
La voicy?	La voici?
Teanaren	Teanaren
M.	M.
ROBERT.	ROBERT.
C’eſt le fait de ce pauure malade, Puis que du mal de l’autre il ſemble eſtre heritier;	C'est le fait de ce pauvre malade, Puis que du mal de l'autre il semble être héritier;
Broyez-la quelque peu dans le petit Mortier.	Broyez-la quelque peu dans le petit Mortier.
Et fiat mixtio, viſte, on le peut ſans crainte?	Et fiat mixtio, vite, on le peut sans crainte?
LISANDRE.	LISANDRE.
Ne poullaye je ſanlais te doſner vne atteinte?	Ne poullaie je sanlais te dôner une atteinte?
DAMIS.	DAMIS.
Patiente vn moment, te voila bien preſſé?	Patiente un moment, te voilà bien pressé?
FABRICE.	FABRICE.
Monſieur, voila tout preſt.	Monsieur, voilà tout prêt.
M.	M.
ROBERT.	ROBERT.
N’as-tu rien renuerſẽt	N'as-tu rien renversent
Non, Monneur.	Non, Monneur.
FABRICE.	FABRICE.
M.	M.
ROBERT.	ROBERT.
Cà donc, que ie m’en aille;	Çà donc, que Elle m'en aille;
Ie voudrois bien auoir vne jaque de maille.	Je voudrais bien avoir une jaque de maille.
LISANDRE.	LISANDRE.
Prens dague, piſtolet, & l’épée au coſté, Iu ne reuiendras pas lans citre bien hoté.	Prends dague, pistolet, et l'épée au côté, Ju ne reviendras pas lans citre bien hoté.
DAMIS.	DAMIS.
Ie te ſeconderay, ne te mets point en peine.	Je te seconderai, ne te mets point en peine.
LISANDRE.	LISANDRE.
Iuſques à ſon retour mon bras eſt à la geſne.	Jusqu' à son retour mon bras est à la gêne.
DAMIS.	DAMIS.
Le voicy, vous diriez d’vn vray Noſtradamus.	Le voici, vous diriez d'âme vrai Nôtradamus.
A v	À v
M.	M.
ROBERT.	ROBERT.
Fabrice, hola, ſoyez vigilantiſſimus;	Fabrice, holà, soyez vigilantissimus;
Soignez à la maiſon, & ſoignez a Lucrece?	Soignez à la maison, et soignez à Lucrece?
TADRTCE.	TADRTCE.
Monſieur, ne craignez rien.	Monsieur, ne craignez rien.
M.	M.
ROBERT.	ROBERT.
Cette petite adreſſe Nous menera ſan riſque au logis du Gaſcon.	Cette petite adresse Nous mènera sans risque au logis du Gascon.
LISANDRE.	LISANDRE.
Tu n’en reuiendras pas ſans des coups de baſton.	Tu n'en reviendras pas sans des coups de bâton.
M.	M.
ROBERT.	ROBERT.
Accelerons vn peu, car à qui mal endure Certes le moindre inſtant plus d’vn ſiecle luy dure.	Accélérons un peu, car à qui mal endure Certes le moindre instant plus d' siècle enfin dure.
LISANDRE.	LISANDRE.
Et nous nous retirons afin de reuenir De tous tes carillons en vn ſeul te punir;	Et nous nous retirons afin de revenir De tous tes carillons en un seul te punir;
Sans le Seigneur Gaſcon, adieu toute l’adreſſe, Damis eſtoit au bout de toute ſa fineſſe.	Sans le Seigneur Gascon, adieu toute l'adresse, Damis était au bout de toute sa finesse.
DAMIS.	DAMIS.
C ent anez, i itint que ray blenieuny, Retirons-nous, i’entens quelqu’vn venir icy;	Ç ent anez, y itint que rai blénieuni, Retirons-nous, j'entends quelqu'un venir ici;
Et dans ce qu’à preſent nous voulons entreprendre, Il n’eſt pas à propos de nous laiſſer ſurprendre.	Et dans ce qu'à présent nous voulons entreprendre, Il n'est pas à propos de nous laisser surprendre.
LISANDRE.	LISANDRE.
Mais apres le coup fait, il faut ſonger à tout, Et pourrer drorenent Panune jurqu'au bout.	Mais après le coup fait, il faut songer à tout, Et pourrer dorèrent Panune jurqu'au bout.
Robert, ſans doute, ira ſe plaindre à la Iuſtice.	Robert, sans doute, ira se plaindre à la Justice.
DAMIS.	DAMIS.
Entrons, ie luy prépare vn ſecond artifice, Et tu confeſſeras qu’il vaut bien le premier.	Entrons, ie luy prépare un second artifice, Et tu confesseras qu'il vaut bien le premier.
LISANDRE.	LISANDRE.
Ah!	Ah!
Damis, s’il ne tient qu’à t’en bien ſuplier.	Damis, s'il ne tient qu'à t'en bien supplier.
DAMIS.	DAMIS.
Tréue de complimens, allons, l'aiſſez moy faire, e prens ſur moy le ſoin de toute cette affaire.	Trêve de compliments, allons, l'aissez moi faire, eu prends sur moi le soin de toute cette affaire.
SCENE V.	SCÈNE V.
LIDAMANT, ISABELLE.	LIDAMANT, ISABELLE.
LIDAMANT.	LIDAMANT.
E touche auec plaſſir a ce ſoment fatal IQu’Iſabelle m’a dit de faire le ſignal Qui me doit introduire au logis de ma Belle.	E touche avec plassir a ce soment fatal IQu'Isabelle m'a dit de faire le signal Qui me doit introduire au logis de ma Belle.
ISABELLE à la feneſt e.	ISABELLE à la fenêt e.
Chut, chut, on vous entend, ie ſuis en ſentinellez Vn peu de patience, on s’en va vous parler;	Chut, chut, on vous entend, je suis en sentinellez Un peu de patience, on s'en va vous parler;
Promenez-vous toûjours, de peur de vous geler.	Promenez-vous toujours, de peur de vous geler.
LIDAMAN T.	LIDAMAN T.
Ha!	Ha!
n’aprehendez point, le feu que i’ay dans l’ame Pour cet objet ſi beau, trop puiſſamment m’enflâme;	n'appréhendez point, le feu que j'ai dans l'âme Pour cet objet si beau, trop puissamment m'enflamme;
Rien ne peut egaler ma forte paſſion.	Rien ne peut égaler ma forte passion.
ISABELLE deſcenduë.	ISABELLE descendue.
Hé!	Hé!
mon Dicu, parlez bas, auec diſcretion;	mon Dicu, parlez bas, avec discrétion;
Elle s’en va deſcendre.	Elle s'en va descendre.
LIDAMANT.	LIDAMANT.
Amour, ſois-moy propice, Et me mets à couuert des aguets de Clarice;	Amour, sois-moi propice, Et me mets à couvert des aguets de Clarice;
Cette Mere importune, auec mille detours, Préuient inceſſamment l’effet de mes amours.	Cette Mère importune, avec mille détours, Prévient incessamment l'effet de mes amours.
SCENE VI.	SCÈNE VI.
EVCRECE, LIDAMANT, ISABELLE.	EUCRECE, LIDAMANT, ISABELLE.
LVCRECE.	LUCRECE.
E' bien dõc, Lidamãt, quevoulez-vous me dire?	E' bien dont, Lidamant, quevoulez-vous me dire?
I IQue faites-vous icy?	I IQue faites-vous ici?
LIDAMANT.	LIDAMANT.
Madame, i’y ſoûpire;	Madame, j'y soupire;
Car ſi-toſt que ie ſuis vn moment ſans vous voir, Aien ne peut egalel moreruer uercipoir.	Car sitôt que ici suis un moment sans vous voir, Aien ne peut égalel moreruer uercipoir.
N’aurez-vous point pitié d’vn pauure miſerable Dont le criine eſt d’aimer vn objet adorable Qui brûle, qui languit, & de qui le reſpect.	N'aurez-vous point pitié d'un pauvre misérable Dont le criine est d'aimer un objet adorable Qui brûle, qui languit, et de qui le respect.
LVCRECE.	LUCRECE.
Tout ce qui vient de vous, me doit eſtre ſuſpect.	Tout ce qui vient de vous, me doit être suspect.
AJADELLE.	AJADELLE.
En effet, en effet, tant de belles promeſſes Ne fot liequ vn beau leurre a predre des Maîtreſſes;	En effet, en effet, tant de belles promesses Ne sot liequ 'beau leurre à près des Maîtresses;
Auſſi pour dire tout, à moins d’vn grand ſerment, Bien ſigné, bien bulé, cela n’eſt que du vent.	Aussi pour dire tout, à moins d'un grand serment, Bien signé, bien bulé, cela n'est que du vent.
LVCRECE.	LUCRECE.
Iſabelle, rentrons.	Isabelle, rentrons.
LIDAMANT.	LIDAMANT.
Ha!	Ha!
demeurez, Madame, Et ſouffrez quatre mots en faueur de ma flâme.	demeurez, Madame, Et souffrez quatre mots en faveur de ma flamme.
ISABELLE.	ISABELLE.
Accordez luy ce bien.	Accordez lui ce bien.
LVCRECE.	LUCRECE.
Sotte.	Sotte.
TSADEELE.	TSADELE.
Vous le deuez.	Vous le devez.
Inſolente.	Insolente.
LVCRECE.	LUCRECE.
ISABELLE.	ISABELLE.
Il le faut.	Il le faut.
LVCRECE.	LUCRECE.
lectoy que vous reſvez.	lectoi que vous rêvez.
ISABELLE.	ISABELLE.
Souftrez que ie l’obtienne.	Soufftrez que Seigneur l'obtienne.
LVCRECE.	LUCRECE.
Et que pourroit-il dire?	Et que pourrait-il dire?
LIDAMANT.	LIDAMANT.
Que i’auray tout le bien que mon ame deſire, Et que vous auſez ſait, d'vn pauure mnamneureux, Le plus content enfin de tous les Amoureux.	Que j'aurai tout le bien que mon âme désire, Et que vous ausez sait, d'un pauvre mnamneureux, Le plus content enfin de tous les Amoureux.
LVCRECE.	LUCRECE.
Voſtre profeſſion.	Votre profession.
LIDAMANT.	LIDAMANT.
vourenstous peur onage.	vourentstous peur onage.
ISABELLE.	ISABELLE.
Eſcoutez;	Écoutez;
vouſez-vous Lucrece en mariage?	Vousez-vous Lucrece en mariage?
Il en faut faire vn acte en ce moment icy, Et puis tout ira bien, car quod ſcripſi ſcripſi.	Il en faut faire un acte en ce moment ici, Et puis tout ira bien, car quod scripsi scripsi.
LIDAMANT.	LIDAMANT.
Oüy, oüy, de tout mon cœur i’en feray la promeſſe,	Oui, oui, de tout mon cœur j'en ferai la promesse,
Ah!	Ah!
pluſtoſt.	plutôt.
LVCRECE.	LUCRECE.
ISABELLE.	ISABELLE.
C’eſt en vain, i’en lelup la luitiene, Eſcriuez ſeulement.	C'est en vain, j'en lelup la luitiene, Écrivez seulement.
LIDAMANT.	LIDAMANT.
Amour, Maiſtre des Dieux, De grace, dicte-moy des termes précieux l eul pauuon anculer Padorable Euclece Que ie meurs du deſir d’accomplir ma promeſſe.	Amour, Maître des Dieux, De grâce, dicte-moi des termes précieux l eul pauvon anculer Padorable Eucle Que personne meurs du désir d'accomplir ma promesse.
ISABELLE.	ISABELLE.
Hé bien, ne l’ay-je pas ménagé dextrement?	Hé bien, ne l'ai-je pas ménagé dextrement?
Sçay-je comme il faut faire vn Epoux d’vn Amant?	Sais-je comme il faut faire un Époux d'un Amant?
Ay-je l’art de conduire vne affaire importante?	Ai-je l'art de conduire une affaire importante?
Et Lucrece à la fin ſera-t’elle contente?	Et Lucre à la fin sera-t-elle contente?
PROMESSE DE MARIAGE.	PROMESSE DE MARIAGE.
Que la Terre & le ciel ſe liguent contre moy, Si ie n’accomply ma promeſſe, Et ſi ie romps iamais la foy Donnée à ma chere Lacrece.	Que la Terre et le ciel se liguent contre moi, Si tu n'accompli ma promesse, Et si ici romps jamais la foi Donnée à ma chère Lacrèce.
& y ye Meiryernrens) Qu'à tous malheurs ie ſois en bute;	et y trouve Méiryernrents) Qu'à tous malheurs tu sois en bute;
Et fi ma puſſion enſin ne l'execute, Si ſon amour le veut, en ce meſme moment.	Et fi ma pussion ensin ne l'exécute, Si son amour le veut, en ce même moment.
LIDAMANT.	LIDAMANT.
Voila tout mon bonheur que ie mets en vos mains.	Voilà tout mon bonheur que je mets en vos mains.
ISABELLE.	ISABELLE.
Signez doncirhomente nomme!	Signez doncirhomente nomme!
LVCRECE.	LUCRECE.
Iſabelle, ie crains.	Isabelle, Seigneur crains.
ISABELLE.	ISABELLE.
Helas!	Hélas!
qu’aucz-vous fait?	qu'aucz-vous fait?
SCENE VII.	SCÈNE VII.
7 62 CLARICE, LVCRECE, LIDAMANT, ISABELLE.	7 62 CLARICE, LUCRECE, LIDAMANT, ISABELLE.
CLARICE de ſa Chambre.	CLARICE de sa Chambre,
Ho, Lucrece, Iſabelle.	Ho, Lucrece, Isabelle.
LVCRECE.	LUCRECE.
O Dieu!	Ô Dieu!
ma Mere vient	ma Mère vient
ISABELLE.	ISABELLE.
Eteignons la chandelle, Et ſortez promptement.	Éteignons la chandelle, Et sortez promptement.
CLANTCE.	CLANTE.
Aux Voleurs, aux Filoux.	Aux Voleurs, aux Filoux.
LIDAMANT.	LIDAMANT.
Tuë, tuë, arreſte, arreſte.	Tue, tue, arrête, arrête.
ISABELLE.	ISABELLE.
Ah!	Ah!
mon Dieu, ſauuons-nous, Luſtons la fureur, Madaie, anons.	mon Dieu, sauvons-nous, Lûtons la fureur, Madaie, ânons.
LVCRECE.	LUCRECE.
Meſchante.	Méchante.
ISABELLE.	ISABELLE.
Ah!	Ah!
ne m’accuſez pas, ie ſuis fort innocente.	ne m'accusez pas, Seigneur suis fort innocente.
LVCRECE.	LUCRECE.
Hé!	Hé!
comment, Lidamant, voſtre temerité.	comment, Lidamant, votre témérité.
LIDAMANT.	LIDAMANT.
Madame, aſſeurez-vous en ma fidelité.	Madame, assurez-vous en ma fidélité.
CLARICE.	CLARICE.
Aux Voleurs, aux Filoux, Amis, preſtez main forte.	Aux Voleurs, aux Filoux, Amis, prêtez main forte.
SCENE VIII.	SCÈNE VIII.
TROIS VOISINS aux feneſtres.	TROIS VOISINS aux fenêtres.
1.	1.
VOISIN.	VOISIN.
QVi va là?	QUi va là?
qu’auez-vous à crier de la ſorte?	qu'avez-vous à crier de la sorte?
CLARICE.	CLARICE.
Ma Fille qu’on enleue!	Ma Fille qu'on enlève!
2.	2.
VOISIN.	VOISIN.
Aux Voleurs, aux Voleurs.	Aux Voleurs, aux Voleurs.
3.	3.
VOISIN.	VOISIN.
Prenez les, prenez les.	Prenez -les, prenez -les.
CLARICE.	CLARICE.
Helas!	Hélas!
les rauiſſeurs Ont des aiſſes aux pieds, courons.	les ravisseurs Ont des aisses aux pieds, courons.
SCENEUIX.	SCENEUIX.
M.	M.
ROBERT, LISANDRE, DAMIS.	ROBERT, LISANDRE, DAMIS.
M.	M.
ROBERT tout nu.	ROBERT tout nu.
Ha!	Ha!
miſerable.	misérable.
LISANDRE frapant M.	LISANDRE frappant M.
Robert.	Robert.
Vous carillonnerez, vous ferez voſtre diable;	Vous carillonnerez, vous ferez votre diable;
Mais ce ne ſera pas ſans eſtre bien froté.	Mais ce ne sera pas sans être bien froté.
DAMIS.	DAMIS.
v fite, tetirons noue, le vey delacaite, Rentrons, pour acheuer le reſte de l’affaire.	 vite, tetirons noue, le vei délacaite, Rentrons, pour achever le reste de l'affaire.
CLARICE ſortie promptement au bruit.	CLARICE sortie promptement au bruit.
1111.	1111.
crop iaenleo poins.	crop jaenle poins.
M.	M.
ROBERT.	ROBERT.
Comment?	Comment?
roüer de coups vn pauure Apoticaire.	rouer de coups un pauvre Apoticaire.
I l’aide, à l’aide, au meurtre.	I l'aide, à l'aide, au meurtre.
M.	M.
ROBERT.	ROBERT.
Attrapez, attrapez les traiſtres aſſaſſins.	Attrapez, attrapez les traîtres assassins.
CLARTCE.	CLARTCE.
Quoy, perſonne ne ſort?	Quoi, personne ne sort?
mes plaintes ſont friuoles?	mes plaintes sont frivoles?
A la Torce.	À la Torce.
M.	M.
ROBERT.	ROBERT.
Au ſecours.	Au secours.
CEARICE.	CEARICE.
Ma Fille.	Ma Fille.
M.	M.
ROBERT.	ROBERT.
Mes épaules.	Mes épaules.
Mon honneur.	Mon honneur.
CLARICE.	CLARICE.
M.	M.
ROBERT.	ROBERT.
Mes habits.	Mes habits.
CLARICE.	CLARICE.
Las:	Las:
on m’a tout volé.	on m'a tout volé.
SCENE X.	SCÈNE X.
MIOTRE AMDROISE, CLARICE, M.	MIOTRE AMDROISE, CLARICE, M.
ROBERT, FABRICE.	ROBERT, FABRICE.
M13 M.	M13 M.
AMBROISE.	AMBROISE.
y autlevous?	y autlevous?
CLARICE.	CLARICE.
Secourez vn eſprit deſolé.	Secourez un esprit désolé.
M.	M.
AMBROISE.	AMBROISE.
Qu'eſt-ce qu’on vous a pris?	Qu'est-ce qu'on vous a pris?
eenare l.	évenare l.
Mon honneur, & ma Fille.	Mon honneur, et ma Fille.
M.	M.
ROBERT.	ROBERT.
Ah!	Ah!
Femme ſans eſpoir.	Femme sans espoir.
11	11
CLARICE.	CLARICE.
Ah!	Ah!
Mere ſans Famille, Qui te conſolera dans tes afflictions?	Mère sans Famille, Qui te consolera dans tes afflictions?
FABRICE.	FABRICE.
Mon Maiſtre, qu'adez-vous:	Mon Maître, qu'adez-vous:
M.	M.
ROBERT.	ROBERT.
Mille contuſions;	Mille contusions;
Plus de trente Filoux, fauoriſez de l’ombre, M’ont mis en cet eſtat.	Plus de trente Filoux, favorisez de l'ombre, M'ont mis en cet état.
FABRICE.	FABRICE.
Sont-ils en ſi grand nombre?	Sont-ils en si grand nombre?
M.	M.
ROBERT.	ROBERT.
Grãd nõbret ah!	Grand nombret ah!
i’en ay veu deux mille aſſeurémen	j'en ai vu deux mille asseurémen
M.	M.
AMBROISE.	AMBROISE.
Il faut ſonger à vous, mon voiſin, promptement.	Il faut songer à vous, mon voisin, promptement.
CLARICE.	CLARICE.
Helas!	Hélas!
ie n’en puis plus.	Elle n'en puis plus.
M.	M.
RODERT.	RODERT.
Me battre de la ſorte!	Me battre de la sorte!
CLARICE.	CLARICE.
Quoy, rauir à mes yeux.	Quoi, ravir à mes yeux.
M.	M.
ROBERT.	ROBERT.
Le Diable les emporte.	Le Diable les emporte.
M.	M.
AMBROISE.	AMBROISE.
Bites Mnoy, inon vomn, cites-vous lolt biene?	Bites Mnoi, inon vomn, cites-vous lolt biene?
M.	M.
ROBERT.	ROBERT.
De aix grands coups d'eſtoc d’outre en outre percé.	De aix grands coups d'étoc d'outre en outre percé.
M.	M.
AMBROISE.	AMBROISE.
Ie ne voy point de ſang, mes recherches ſont vaines.	Je ne vois point de sang, mes recherches sont vaines.
dli do s nlala Pauure ignorant, la peur l’a figé dans mes veines.	dli do s nlala Pauvre ignorant, la peur l'a figé dans mes veines.
M.	M.
AMBROISE.	AMBROISE.
coulage, cen’eit Hien.	coulage, cèneit Hien.
M.	M.
ROBERT.	ROBERT.
Helas!	Hélas!
mes pauures yeux Pochez au beurre noir, ne verront plus les Cieux.	mes pauvres yeux Pochez au beurre noir, ne verront plus les Cieux.
M.	M.
AMBROISE.	AMBROISE.
Qu'auez-vous plus encor?	Qu'avez-vous plus encor?
M RODERI.	M MODERI.
Trois coſtes enfoncées, Les deux bras diſſoquez, & quatre dents caſſées, Sans plus de mille coups liuides & contus Dont moult griéuement mes membres ſont batus.	Trois côtes enfoncées, Les deux bras dissoquez, et quatre dents cassées, Sans plus de mille coups livièdes et contus Dont moult griéuement mes membres sont battus.
CLARICE.	CLARICE.
Las!	Las!
