ROSANDRE, Amoureux de Liſimene.	ROSANDRE, Amoureux de Lisimène.
Eſt ce la, le beau Pere, ou je dois m’allier?	Est -ce la, le beau Père, ou je dois m'allier?
ROSANDRE.	ROSANDRE.
Et ſa ſille avec luy, cache l’établier.	Et sa sille avec peine, cache l'établier.
Que tu ne ſois cennu, & ſur tout prend bien garde A ce que tu diras.	Que tu ne sois cennu, et sur tout prend bien garde À ce que tu diras.
BAGOLIN.	BAGOLIN.
Le barbon me Regarde.	Le barbon me Regarde.
ROSANDRE.	ROSANDRE.
Laiſſe le Regarder, & porte bien ton bois.	Laisse le Regarder, et porte bien ton bois.
BAGOLIN.	BAGOLIN.
Deis-je parler d’abord ou Latin, ou François?	Dis-je parler d'abord ou Latin, ou Français?
ROSANDRE.	ROSANDRE.
Il faut en premier lien, ſuivant la bien ceance, Luy lever le chapeau, faire la reverence, Puis dire ton Laiin.	Il faut en premier lien, suivant la bien céance, Lui lever le chapeau, faire la révérence, Puis dire ton Laiin.
BAGO	BAGO
BAGOLIN.	BAGOLIN.
Il ne m’en ſouvien plus,	Il ne m'en souvien plus,
ROSANDRE.	ROSANDRE.
18 Jnn.	18 In.
BAGOLIN.	BAGOLIN.
Aprés?	Après?
ROSANDRE.	ROSANDRE.
Advocatus.	Advocatus.
BAGOLIN.	BAGOLIN.
Je m’en vais l’aborder, & de la bonne ſorte.	Je m'en vais l'aborder, et de la bonne sorte.
Je ſuis Advocatus, ou le diable m’en porte.	Je suis Advocatus, ou le diable m'en porte.
PANCRACE.	PANCRACE.
Il m’oſte mon chapeau, Monſieur eſt-ce qu’il rit.	Il m'ôte mon chapeau, Monsieur est-ce qu'il rit.
ROSANDRE.	ROSANDRE.
C’eſt la mode à preſent entre les gens d’eſprit.	C'est la mode à présent entre les gens d'esprit.
PANCRACE.	PANCRACE.
Cette mode à mon ſens, me ſemble ridicule;	Cette mode à mon sens, me semble ridicule;
Mais n’importe, Eſcoutons ſon Docte preambule.	Mais n'importe, Escoutons son Docte préambule.
ROSANDRE.	ROSANDRE.
Veux tu me faire icy recevoir un affront, Songe à ce que tu fais, Car.	Veux tu me faire ici recevoir un affront, Songe à ce que tu fais, Car.
BAGOLIN.	BAGOLIN.
Advocatus ſm.	Advocatus sm.
Non pas Advocatus des quinze à la douzaine, Puiſque des plus ſçavant, je ſuis le Capitaine;	Non pas Advocatus des quinze à la douzaine, Puisque des plus savant, je suis le Capitaine;
Mais des Advocatus, venerable patron, Dont-on ne voit jamais que dix au Carteron.	Mais des Advocatus, vénérable patron, Dont-on ne voit jamais que dix au Cartéron.
Connoiſſez vous Platon, ce grand homme de Geneve?	Connaissez vous Platon, ce grand homme de Génève?
Non.	Non.
PANCRACE.	PANCRACE.
BAGOLIN.	BAGOLIN.
Et-Sencque?	Et-Sencque?
P’ANCRACE.	P'ANCRACE.
Encore moins.	Encore moins.
BAGOLIN.	BAGOLIN.
S'ils eſtoient ſur la terre Avant qu’il ſut deux jour, au ſeul bruit de mon nom, On ne trouveroit plus Seneque, ny Caton, Car ils s’iroiſent cacher dans le pot au vinaigre.	S'ils étaient sur la terre Avant qu'il sut deux jour, au seul bruit de mon nom, On ne trouverait plus Sénèque, notre Caton, Car ils s'iraisent cacher dans le pot au vinaigre.
PANCRACE.	PANCRACE.
Que Monſieur voſtre frere eſt un Docteur alegre, Il parle comme un Livre, & rit inceſſamment.	Que Mons votre frère est un Docteur alégre, Il parle comme un Livre, et rit incessamment.
ROSANDRE.	ROSANDRE.
Ne vous ay-je pas dit, qu’il railloit doctement.	Ne vous ai-je pas dit, qu'il raillait doctement.
PANCRACE.	PANCRACE.
Vous avez fait, Monſieur, tous vos dégrée?	Vous avez fait, Monsieur, tous vos dégrée?
BAGOLIN.	BAGOLIN.
Sans doute, Je ſautray l’autre jour, noſtre montée toute, Sans un degré de manque, eſtant ſouls de muſquat.	Sans doute, Je sautrai l'autre jour, notre montée toute, Sans un degré de manque, étant souls de musquât.
PANCRACE.	PANCRACE.
Et depuis quand Monſieur eſtes vous Advocat?	Et depuis quand Monsieur êtes -vous Avocat?
LISIMENE.	LISIMENE.
Peut-on le demander ſans paroiſtre inciville?	Peut-on le demander sans paraître inciville?
BAGOLIN.	BAGOLIN.
Depuis que ce jeune homme arrivant dans la Ville, Pour avoir voſtre fille & vos dix mille eſcus.	Depuis que ce jeune homme arrivant dans la Ville, Pour avoir votre fille et vos dix mille écus.
M’aprit à d’écliner, je ſuis Advocatus.	M'aprit à d'écliner, je suis Advocatus.
ROSANDRE.	ROSANDRE.
Il eſt vray, qu’auſitoſt que je le vis paroiſtre, Sçachant que vous vouliez un grand homme de lettre, Je dis qu’un Avocat y parut aujourd’huy, Et que ce bel objet pouvoit eſtre pour luy.	Il est vrai, qu'ausitôt que je le vis paraître, Sachant que vous vouliez un grand homme de lettre, Je dis qu'un Avocat y parut aujourd'hui, Et que ce bel objet pouvait avoir pour lui.
PANCRACE.	PANCRACE.
Fort bien.	Fort bien.
Et ſon humeur me paroiſt agreable.	Et son humeur me paraît agréable.
BAGOLIN.	BAGOLIN.
Au reſte ſcachant tout, la ſience m’acable, ’ay quatre once du moins, de l’hebreu le plus fin.	Au reste sachant tout, la sience m'acable, ay quatre once du moins, de hébreu le plus fin.
J’ay plein quatre chapeaux de Grec, & de Latin.	J'ai plein quatre chapeaux de Grec, et de Latin.
Je ſçay preſque par cœur l’Hiſtoire veritable, Des quatres fils aymonts, & de Robert le diable.	Je sais presque par cœur l'Histoire véritable, Des quatres fils aimonts, et de Robert le diable.
Quand le Ciel eſt couvert de ſon plus noir manteau, Je devine s’il pleut;	Quand le Ciel est couvert de son plus noir manteau, Je devine s'il pleut;
que nous aurons de l’eau Dedans le mois d Aouſt, je ſçay fort bien comprendre, Qui fait beaucoup plus chaux, qu’en celuy de Decembre.	que nous aurons de l'eau Dedans le mois d' Aoust, je sais fort bien comprendre, Qui fait beaucoup plus chaux, qu'en celui de Décembre.
Et Et ſitoſt que la gréle à gaſté le raſin, Je dis aſſeurement, nous aurons peu de vin.	Et Et sitôt que la grèle à gâté le rasin, Je dis assurément, nous aurons peu de vin.
Pour les Proces je penſe, y ſçavoir quelque choſe, Et ſitoſt qu’un Plaideur ayant, perdu ſa cauſe, Paroiſt comme enragé, je dis au meſme inſtant, Que ſon eſprit troublé, n’eſt pas des plus contant.	Pour les Proces je pense, y avoir quelque chose, Et sitôt qu'un Plaideur ayant, perdu sa cause, Paraît comme enragé, je dis au même instant, Que son esprit troublé, n'est pas des plus contant.
Et comme Savetier, nous avons connoiſſance, Que le bon Cuir d’Auvergne, eſt le meilleur de France.	Et comme Savetier, nous avons connaissance, Que le bon Cuir d'Auvergne, est le meilleur de France.
Et quand il vous faudra rajuſter vos Soulliers, Vous verrez ſi l’on voit de meilleurs Savetiers.	Et quand il vous faudra rajuster vos Soulliers, Vous verrez si l'on voit de meilleurs Savetiers.
PANCRACE.	PANCRACE.
Se moques t’il de nous?	Se moques -t-il de nous?
Quoy la Saveterie?	Quoi la Saveterie?
L’occupe quelque fois?	L'occupe quelque fois?
ROSANDRE.	ROSANDRE.
Ce n’eſt que raillerie, En vous parlant de luy, ne vous ay-je pas dit Qu’il montre à tous momens, le feu de ſon eſprit.	Ce n'est que raillerie, En vous parlant de lui, ne vous ai-je pas dit Qu'il montre à tous moments, le feu de son esprit.
PANCRACE.	PANCRACE.
Combien de mil eſcus poſſedez vous de rente?	Combien de mil écus possédez vous de rente?
ROSANDRE.	ROSANDRE.
Deux mille pour le moins, ſans le bien d’une Tante, Qui.	Deux mille pour le moins, sans le bien d'une Tante, Qui.
BAGOLIN.	BAGOLIN.
Qui moy deux mille eſcus, mal peſte du fol, Jamais d’argent content je ne me vis deux ſol.	Qui moi deux mille écus, mal peste du fol, Jamais d'argent content je ne me vis deux sol.
ROSANDRE.	ROSANDRE.
Vous ne comprenez pas ou tendent ſes paroles, Il n’euſt jamais deux ſols, mais bien force piſtoles.	Vous ne comprenez pas ou tendent ses paroles, Il n'eût jamais deux sols, mais bien force pistoles.
PANCRACE.	PANCRACE.
Or ça Monſieur mon gendre, ou Monſieur l’Avocat, Pour voſtre Mariage, il faut faire un contract, Et ſans que de vos biens autrement je m’informe, Faiſons le ſi vous plaiſt, qui ſoit en bonne forme.	Or ça Monsieur mon gendre, ou Monsieur l'Avocat, Pour votre Mariage, il faut faire un contrat, Et sans que de vos biens autrement je m'informe, Faisons le si vous plaît, qui soit en bonne forme.
BAGOLIN Cellecy que je croy, ſera bonne pour vous, Elle vient de Paris.	BAGOLIN Celleci que je crois, sera bonne pour vous, Elle vient de Paris.
PANCRACE.	PANCRACE.
Se moque t’il de nous;	Se moque t'il de nous;
une forme eſt ce que par gageure.	une forme est ce que par gageure.
ROSANDRE.	ROSANDRE.
C’eſt que mon frere eſt propre, & ſur tont en chauIule, Et craignant en ce lieu qu’on le trouva mal mis, Il a ſait apporter ſa forme de Paris.	C'est que mon frère est propre, et sur tont en chauIule, Et craignant en ce lieu qu'on le trouva mal mis, Il a sait apporter sa forme de Paris.
PANCRACE.	PANCRACE.
Mais il eſt à propos touchant ce Mariage, De ſçavoir ſi ma fille aura quelqu’avantage?	Mais il est à propos touchant ce Mariage, De sçavoir si ma fille aura quelqu'avantage?
Vous ſçavez que le dot.	Vous savez que le dot.
BAGOLIN.	BAGOLIN.
Que vous eſtes badin, Ma femme aprés ma mort aura men St.	Que vous êtes badin, Ma femme après ma mort aura men St.
Creſpin.	Crespin.
PANCRACE.	PANCRACE.
Qu’es-ce qu’un St.	Qu'est-ce qu'un St.
Creſpin?	Crespin?
ROSANDRE.	ROSANDRE.
Que voſtre eſpoir s’y fande, Il entent tout le bien, qu’il a dedans le monde.	Que votre espoir s'y fande, Il entent tout le bien, qu'il a dedans le monde.
BAGOLIN.	BAGOLIN.
Mais auſſi, je pretens que les dix mil eſcus, viendrons dans le goucet du ſieur Ad:	Mais aussi, je prétends que les dix mil écus, viendrons dans le goucet du sieur Ad:
οcαtus.	οcαtus.
PANCRACE.	PANCRACE.
Nous l’entendons ainſi, ſa viſte Liſimene.	Nous l'entendons ainsi, sa vite Lisimène.
De déchauſſer le gant, il faut prendre la peine.	De déchausser le gant, il faut prendre la peine.
LISIMENE.	LISIMENE.
Roſandre, mon Papa.	Rosandre, mon Papa.
PANCRACE.	PANCRACE.
Vous reſiſtez en yain, Roſandre eſt un badoſt, ſça Monſieur voſtre main, Pour ſe donner la foy, c’eſt le premier article,	Vous résistez en y, Rosantre est un badôt, sa Monsieur vôtre main, Pour se donner la foi, c'est le premier article,
LISIMENE.	LISIMENE.
Papa qu’eſt-ce là foy?	Papa qu'est-ce là foi?
BAGOLIN.	BAGOLIN.
C’eſt une manicle, Pour tirer le ligneul, de crainte que la poix, Ne s’attache à la main.	C'est une manicle, Pour tirer le ligneul, de crainte que la poix, Ne s'attache à la main.
ROSANDRE.	ROSANDRE.
POuy, c'eſt que l’autre fois.	POuy, c'est que l'autre fois.
En n’écrivant un mot avec un trenche plume,	En n'écrivant un mot avec un trenche plume,
PANCRACE.	PANCRACE.
viſte, touché, palette, allons mon future gendre.	vite, touché, palette, allons mon future gendre.
LISIMENE.	LISIMENE.
J’obeïs à mon Pere, & la donne à Roſandre.	J'obéis à mon Père, et la donne à Rosandre.
BAGOLIN.	BAGOLIN.
PANCRACE.	PANCRACE.
BAGOLIN.	BAGOLIN.
Je vais faire chez vous porter tout mon bagage.	Je vais faire chez vous porter tout mon bagage.
PANCRACE.	PANCRACE.
Fort bien.	Fort bien.
Mais voulez vous qu’avec vos laquais, J’envoye une charette ou quelque portefaiſt?	Mais voulez -vous qu'avec vos laquais, J'envoie une charette ou quelque portefait?
BAGOLIN.	BAGOLIN.
Vous vous moquez de moy, j’ay l’eſchine aſſez large Pour pouvoir ſupporter une plus lourde charge, Adieu, je reviendray pluſtoſt que l’on ne croy, Mon frere cependant faite l’amour pour moy.	Vous vous moquez de moi, j'ai l'échine assez large Pour pouvoir supporter une plus lourde charge, Adieu, je reviendrai plutôt que l'on ne crois, Mon frère cependant faite l'amour pour moi.
PANCRACE.	PANCRACE.
Son humeur qui me charme, eſt ſans doute agreable, Et je croy qu’a railler elle eſt incomparable, Attendant ſon retour, pour ne perdre le temps, Je vais de ce beau choix advertir mes Parens, Ma fille entretenez cet aymable beau frere.	Son humeur qui me charme, est sans doute agréable, Et je crois qu'a railler elle est incomparable, Attendant son retour, pour ne perdre le temps, Je vais de ce beau choix advertir mes Parents, Ma fille entretenez cet aimable beau frère.
SCENE V.	SCÈNE V.
LISIMENE, ROSANDRE,	LISIMENE, ROSANDRE,
LISIMENE.	LISIMENE.
E bien, que dites vous de l’humeur de mon H Pere?	E bien, que dites -vous de l'humeur de mon H Ère?
ROSANDRE.	ROSANDRE.
Elle eſt aſfez-fa le, à ne vous rien celer, Et pour le voir duper on n’a rien qu’a parler, Cependant, Liſimene à Roſandre promiſe, Par luy meſme à mon Pere, augmente ma ſurpriſe, Quoy m’écrire à Paris, de venir promptement Joindre le nom d’Epoux, aux ardeur, d’un Amant, Et vous voir à mes yeux deſtiné pour un autre.	Elle est assez-fa le, à ne vous rien celer, Et pour le voir duper on n'a rien qu'à parler, Cependant, Lisimène à Rosandre promise, Par lui même à mon Père, augmente ma surprise, Quoi m'écrire à Paris, de venir promptement Joindre le nom d'Époux, aux ardeur, d'un Amant, Et vous voir à mes yeux destiné pour un autre.
LISIMENE.	LISIMENE.
La faute, ou je me trompe, eſt entierement voſtre, Vous vouliez le joüer, mais Roſandre avoüée, Que ſouvent les plus fins en joüant ſont joüée	La faute, ou je me trompe, est entièrement votre, Vous vouliez le jouer, mais Rosandre avouée, Que souvent les plus fins en jouant sont joüée
ROSANDRE.	ROSANDRE.
Mais, depuis quatre jours qu’auprés de vos appas, On me voit de retour?	Mais, depuis quatre jours qu'auprès de vos appas, On me voit de retour?
LISIMENE.	LISIMENE.
Il ne vous connoiſt pas.	Il ne vous connaît pas.
Et qui plus eſt encor, vous m’avez fait paroiſtre, Que ſe n’eſt pas par moy, qu’il vous devoit connoiſtre, Je n’ay rien dit, ainſi vous devez aujourd’huy, Vous plaindre de Roſandre, & point du tout de luy.	Et qui plus est encor, vous m'avez fait paraître, Que se n'est pas par moi, qu'il vous devait connaître, Je n'ai rien dit, ainsi vous devez aujourd'hui, Vous plaindre de Rosandre, et point du tout de Seigneur.
ROSANDRE.	ROSANDRE.
Mais puis-je m’aſſeurer que Liſimene m’ayme?	Mais puis-je m'assurer que Lisimène m'aime?
LISIMENE.	LISIMENE.
Sans doute, & beaucoup plus qu’elle ne fait ſoy meſme, Ne doutez dont de Rien, & calmez ce couroux?	Sans doute, et beaucoup plus qu'elle ne fait soi même, Ne doutez dont de Rien, et calmez ce courroux?
Croyez qu’abſolument Liſimene eſt à vous.	Croyez qu'absolument Lisimène est à vous.
ROSANDRE.	ROSANDRE.
Jamais ſon changement n’entrât dans m’a penſée, Mais allons achever la fourbe commencée, Et voir s’y l’Advocat emportera le prix, Je vais trouver Pancrace.	Jamais son changement n'entrât dans m'a pensée, Mais allons achever la fourbe commencée, Et voir s'y l'Advocat emportera le prix, Je vais trouver Pancrace.
LISIMENE.	LISIMENE.
Et moy j’entre au Logis.	Et moi j'entre au Logis.
SCENE VI.	SCÈNE VI.
BAGOLIN, En trenant une caiſſe.	BAGOLIN, En trenant une caisse.
Quand un homme prend femme, & qu’il entre en menage, On On m’a dit qu’il y doit porter tout ſon bagage, Auſſi je veux ſçavoir en portant tout le mien, Si noſtre chere Epouſe à pour moy tout le ſien?	Quand un homme prend femme, et qu'il entre en menage, On On m'a dit qu'il y doit porter tout son bagage, Aussi je veux savoir en portant tout le mien, Si notre chère Épouse à pour moi tout le sien?
Hola ho s	Hola ho s
LISIMENE.	LISIMENE.
Quoy vous meſme Mr.	Quoi vous -même Mr.
vous prenez cette peine.	vous prenez cette peine.
BAGOLIN.	BAGOLIN.
Je la prens aujourd’huy charmante Liſimene.	Je la prends aujourd'hui charmante Lisimène.
Mais entrant des demain, en menage nouveau, Vous m’aiderez je penſe aporter le fardeau.	Mais entrant des demain, en menage nouveau, Vous m'aiderez je pense apporter le fardeau.
Ca preſtez moy la main, pour décharger ma Caiſſe.	Ça prêtez -moi la main, pour décharger ma Caisse.
LIS IMENE.	LIS IMENE.
ciir ifuroeut bon Dieu, Croſcheteur.	ciir ifuroeut bon Dieu, Croscheteur.
BAGOLIN.	BAGOLIN.
He bien!	He bien!
qu’eſſe?	qu'esse?
Si l’on voit large dos à Monſieur voſtre Epoux, Il en eſt plus robuſte, & c’eſt tamieux pour vous.	Si l'on voit large dos à Monsieur votre Époux, Il en est plus robuste, et c'est tamieux pour vous.
Quand il faudra pour vous exercer ſon Echine, L’Advocat gagnera dequoy boire Chopine.	Quand il faudra pour vous exercer son Échine, L'Avocat gagnera dequoy boire Chopine.
LISIMENE.	LISIMENE.
Pouvons nous viſiter les hardes que voilà, Voir vos Coffres icy?	Pouvons nous visiter les hardes que voilà, Voir vos Coffres ici?
BAGOLIN.	BAGOLIN.
Ouyda, mettez vous là.	Ouida, mettez -vous là.
LISIMENE.	LISIMENE.
Qu'elle guenille au Ciel!	Qu'elle guenille au Ciel!
BAGOLIN.	BAGOLIN.
C’eſt mon habit de nopce.	C'est mon habit de nopce.
Voyez vous le pourpoint, il revient bien au choſſe.	Voyez -vous le pourpoint, il revient bien au chosse.
Je le mets le Dimanche avec ce grand chapeau.	Je le mets le Dimanche avec ce grand chapeau.
LISIMENE.	LISIMENE.
Vous eſtes lors bien mis, car l’équipage eſt beau.	Vous êtes lors bien mis, car l'équipage est beau.
BAGOLIN.	BAGOLIN.
Voiſà mon Saint Creſpin, Et mon linge.	Voisà mon Saint Crépin, Et mon linge.
LISIMENE.	LISIMENE.
Il me ſemble, Que le linge & l’habit revienent bien enſemble.	Il me semble, Que le linge et l'habit revienent bien ensemble.
BAGOLIN.	BAGOLIN.
Il eſt falle, il eſt vray, mais vous devez ſçavoir,	Il est salle, il est vrai, mais vous devez sçavoir,
que Que tant plus je le porte, & plus il devient noïr.	Que Que tant plus je le porte, et plus il devient noïr.
delscela?	délscela?
LISIMENE.	LISIMENE.
BAGOLIN.	BAGOLIN.
D’un Cocu le plumage.	D'un Cocu le plumage.
Il ſait bon d’en avoir quand on entre en menage, On s’en ſert quelquefois pour manche de Couteaux.	Il sait bon d'en avoir quand on entre en menage, On s'en sert quelquefois pour manche de Couteaux.
Pouray-je quelque jour eſtre de ſes Oiſeaux, Dites?	Pourrai-je quelque jour être de ses Oiseaux, Dites?
EISIMENE.	EISIMENE.
Cela ſe peut, & l’homme le plus ſage.	Cela se peut, et l'homme le plus sage.
AGOLIN.	AGOLIN.
Je vous en fais preſent, au nom de mariage.	Je vous en fais présent, au nom de mariage.
LISIMENE.	LISIMENE.
Ah!	Ah!
Gardez les pour vous, pour moy, je n’en veux point.	Gardez -les pour vous, pour moi, je n'en veux point.
BAGOLIN.	BAGOLIN.
Et vous m’en fournirez quand j’en auray beſoin, Prenez.	Et vous m'en fournirez quand j'en aurai besoin, Prenez.
LISIMENE.	LISIMENE.
Encore un coup je n’en veux point des voſtre.	Encore un coup je n'en veux point des Romains.
BAGOLIN.	BAGOLIN.
Et prenez celle-cy, vous en donneray d’autres.	Et prenez celle-cy, vous en donnerai d'autres.
Mais que vois-je.	Mais que vois-je.
LISIMENE.	LISIMENE.
Mon Pere, & mon Couſin auſſi.	Mon Père, et mon Cousin aussi.
BAGOLIN.	BAGOLIN.
J’entre dans le logis, & je reviens icy.	J'entre dans le logis, et je reviens ici.
SCENE VII.	SCÈNE VII.
LE COUSIN, PANCRACE, LE DOC.	LE COUSIN, PANCRACE, LE DOC.
TEUR, BAGOLIN, ROSANDRE, LISIMENE.	TEUR, BAGOLIN, ROSANDRE, LISIMENE.
LE COUSIN.	LE COUSIN.
Eſt bien precipiter un pareil mariage.	Est bien précipiter un pareil mariage.
C PAN	Ç CAN
PANCRACE.	PANCRACE.
Il le faut, quand on trouve un ſi grand advantage.	Il le faut, quand on trouve un si grand advantage.
un Advocat bien fait, richiſime & ſçavant.	un Advocat bien fait, richisime et Savant.
LE DOCTEUR.	LE DOCTEUR.
La plus belle apparence eſt trompeuſe ſouvent Dit Seneque, & ſouvent par une fauſe amorce, On trouvé un méchant bois, ſous une belle écorce.	La plus belle apparence est trompeuse souvent Dit Sénèque, et souvent par une fausse amorce, On trouvé un méchant bois, sous une belle écorce.
Eleitort Docte?	Élitort Docte?
PANCRACE.	PANCRACE.
Autant que feu Noſtra-damus.	Autant que feu Nostra-damus.
LE DOCTEUR.	LE DOCTEUR.
Mortalibus Doctrina honnore eſt omnibus.	Mortalibus Doctrina honore est omnibus.
Ouy, le proſond ſçavoir eſt un rare avantage, Il nous honore, & rien n’eſt comparable au ſage, Si-toſt que j’auray veu ce gendre pretendu, Qui peut porter le nom de rare Individu, Un bon interogat, nous apprendra peut-eſtre,	Oui, le prosond avoir est un rare avantage, Il nous honore, et rien n'est comparable au sage, Sitôt que j'aurai vu ce gendre prétendu, Qui peut porter le nom de rare Individu, Un bon intérogat, nous apprendra peut-être,
PANCRACE.	PANCRACE.
Le Voicy, dite moy qu’eſt-ce que ſon Eſprit?	Le Voici, dite moi qu'est-ce que son Esprit?
LE DOCTEUR.	LE DOCTEUR.
On en peut pas juger n’ayant encore rien dit, Je vais l’interoger.	On en peut pas juger n'ayant encore rien dit, Je vais l'interoger.
LE COUSIN.	LE COUSIN.
Il a mauvaiſe mine.	Il a mauvaise mine.
LE DOCTEUR.	LE DOCTEUR.
C’eſt un dont ennoré ſans doute à la Doctrine.	C'est un dont ennoré sans doute à la Doctrine.
Amy du Sieur Pancrace, & Docteur dans les loix, e prens part au bonheur qui ſuit un ſi beau choix.	Ami du Sieur Pancrace, et Docteur dans les lois, e prens part au bonheur qui suit un si beau choix.
Mais comme les ſçavants, ſemblent avoir en bute Dégayer leurs Eſprits toüjours dans la diſpute, Souffrez qu’a ce brillant qui me met a qui à, Je puis ſe demander quid eſt Juſticia?	Mais comme les savants, semblent avoir en bute Dégayer leurs Esprits tendre dans la dispute, Souffrez qu'a ce brillant qui me met à qui à, Je puis se demander qui est Justicia?
Que dit-il?	Que dit-il?
BAGGLIN.	BAGGLIN.
ROSANDRE.	ROSANDRE.
En Latin qu’es-ce que la Juſtice.	En Latin qu'est-ce que la Justice.
BAGOLIN.	BAGOLIN.
Je ſuis Advocatus viſage decrevice,	Je suis Advocatus visage décrévice,
LE DOCTEUR.	LE DOCTEUR.
Reſpondez.	Respondez.
BAGOLIN.	BAGOLIN.
On y va.	On y va.
Mais toy meſme reſponds, Quid eſt ce Juſtitiã.	Mais toi même réponds, Quid est ce Jutitiant.
LE DOCTEUR.	LE DOCTEUR.
Tuſtitia eſt, Conſtans & perpetua Volontas, phrpuunt ouepreniouendi.	Tûtitia est, Constants et perpétua Volontas, phrpuunt ouépreniouendi.
C’eſt une Volonté pour les biens importante, Qu’on voit perpetuel & qu’on nomine Conſtante, A rendre à tout chachun ce qui leur appartient.	C'est une Volonté pour les biens importante, Qu'on voit perpétuel et qu'on nomine Constante, A rendre à tout chachun ce qui leur appartient.
BAGOLIN.	BAGOLIN.
D’accord, car je ſoûtient ce que Monſieur ſoûtient.	D'accord, car je soutient ce que Monsieur soutient.
LE DOCTEUR.	LE DOCTEUR.
