ROSANDRE, Amoureux de Liſimene.	ROSANDRE, Amoureux de Lisimène.
Le grand Juſtinien, cet Empereur Illuſtre, Qui fit voir la Juſtice en ſon plus digne luſtre, Surpris, de voir regner tant de Docteurs divers, Qui tous turtorcuvete Lois à droit, & à travers, Dẽ tant d’eſcrits confus, faiſant un noir mélange, Qui plongeoit la Juſtice en un abime eſtrange, Rãmaſſant promptement de ces divers Eſprits, Les plus pures ſentimens, & les plus beaux eſcrits, Il en forma les lois que noſtre ſiécle honnore, Et qui juſqu’à preſent porte ſon nom encore.	Le grand Justinien, cet Empereur Illustre, Qui fit voir la Justice en son plus digne lustre, Surpris, de voir régner tant de Docteurs divers, Qui tous turtorcuvete Lois à droit, et à travers, Domme tant d'écrits confus, faisant un noir mêlange, Qui plongeait la Justice en un abime étrange, Rãmassant Les plus grands divers Es, Les plus pures sentiments, et les plus beaux écrits, Il en forma les lois que notre siécle honnore, Et qui jusqu'à présent porte son nom encore.
BAGOLIN.	BAGOLIN.
Que vous raiſonnez bien, que vous avez d’eſprit.	Que vous raisonnez bien, que vous avez d'esprit.
LE DOCTEUR.	LE DOCTEUR.
Deruis que ce grand homme, eût fait ce que j’ay dit, On n’a veu dans l’inſtant s’inſtaller dans le monde.	Dervis que ce grand homme, eût fait ce que j'ai dit, On n'a vu dans l'instant s'installer dans le monde.
Tant delivres de droit, que le ſiecle en abonde.	Tant délivres de droit, que le siècle en abonde.
6	6
BAGOLIN.	BAGOLIN.
Des Lievres?	Des Lièvres?
Il eſt vray, on en voit bien par fois, Et des Lapins auſſi.	Il est vrai, on en voit bien par fois, Et des Lapins aussi.
LE DOCTEUR.	LE DOCTEUR.
Latin, Grec, & Francois.	Latin, Grec, et Francais.
Or, parmy ſes Docteurs dont les ſcience brille, On met au premier rang Balde, Leſquiquoquille, Bertolle, Déclapier, Theophile, Jaſon, DuaEnnacurſſe, Alciat, Hypolite, & Papon?	Or, parmi ses Docteurs dont les science brille, On met au premier rang Balde, Lesquiquoquille, Bertolle, Déclapier, Théophile, Jason, Duanacursse, Alciat, Hypolite, et Papon?
Tribonien, Mernæ, Fulgoſſe, Dorathée, Rocheſlaven, Menard, Odoftet, Abudée, Macrobe, Imbert, Fabert, Lolive, Carondars, Louet, Dinno, Marcil, & l’Illuſtre Cujar.	Tribonien, Mernæ, Fulgosse, Dorathée, Rocheslaven, Ménard, Odoftet, Abudée, Macrobe, Imbert, Fabert, Lolive, Carondars, Louet, Dinno, Marcil, et l'Illustre Cujar.
Bref, Depareils ſçavants une longue Illiade, Qui tous, pour s’élever dans le ſupréme grade, Et remplir de leur noms, leur fameux tribunaux, En foncent, & leurs teſtes, & leurs nez Doctoraux, Dans les digeſtes, loix, paragraphe, rubriques, Decretales, Verſets, chapitres au tantiques.	Bref, Dépareils sçavants une longue Illiade, Qui tous, pour s'élever dans le suprême grade, Et remplir de leur noms, leur fameux tribunaux, En foncent, et leurs têtes, et leurs nez Doctoraux, Dans les digestes, lois, paragraphe, rubriques, Décretales, Versets, chapitres au tantiques.
Dans les Codes Flamiens, Codes Theodoſiens, Codes Argemoniens, Gregoriens, Papiniens, Dans les titres Canon, Inſtitution, Glauſes, Et mille autres erreur, dedans le droit encloſe, Qui vont embaraſſant quand on veut l’embraſſer, Des Cerveaux, qu’avec peine on peut débaraſſer.	Dans les Codes Flamiens, Codes Théodosiens, Codes Argémoniens, Grégoriens, Papiniens, Dans les titres Canon, Institution, Glauses, Et mille autres erreur, dedans le droit enclose, Qui vont embarrassant quand on veut l'embrasser, Des Cerveaux, qu'avec peine on peut débarrasser.
PANCRACE.	PANCRACE.
Je ne comprens rien là, du moins qui me remembre, Tandis, qu’ils finiront, je vais juſqu’à ma chambre.	Je ne comprends rien là, du moins qui me remembre, Tandis, qu'ils finiront, je vais jusqu'à ma chambre.
LE DOCTEUR.	LE DOCTEUR.
De ſes ſçavants aux lois, que l’on nomme Docteurs, Les uns ſont Chicanans, Chicanez, Chicaneurs, Plaidans, & Conſultans, Gloſateurs, Formulaire, Qui rapporteur d’Arreſts, qui déſeſſonaires, Les uns Pratitiens, d’autres Inſtituteurs, Interprete du Droit, & qui Solliciteurs.	De ses sçavants aux lois, que l'on nomme Docteurs, Les uns sont Chicanmands, Chicane, Urs, Plaidans, et Consultant, Glosateurs, Formulaire, Qui rapporteur d'Arrests, qui désessonaires, Les uns Pratitiens, d'autres Instituteurs, Interprète du Droit, et qui Solliciteurs.
LE COUSIN.	LE COUSIN.
Que d’un pareil diſcours la longeur, m’aſſaſſine, J’entre dans le logis, & reviens ma Couſine.	Que d'un pareil discours la longeur, m'assassine, J'entre dans le logis, et reviens ma Cousine.
DE DOCTEUR.	DE DOCTEUR.
un parfait Advocat doit ſçavoir tout cela, Et pour ce rendre Illuſtre aller juſqu’au de là, N’ignorer ce que c’eſt, que ces fins dilatoires, Piramtoire de meſme, & fins declinatoires, Qu’es-ce que nullitez, qu’eſt-ce qu’originaux, Promeſſes & contrats, achaps, lettre royaux, Ecritures publiques, Epreuves, & Requeſtes, Copies, Teſtamens, Mariages, Enqueſtes, Les Conteſtations, Reviſions, Arrets, Repreſentations, Productions, Extraiſts, Qu’eſt-ce que Concluſiens au Parquet, Ordonnantes, Les Avis, au Conſeils, Sentences, Et Requettes au Palais, Oppoſans, Pretendans, Saques, & Pieſſe enfin, Demandans, Deffendans, Parties Jointe, Et de plus tous ces noms innombrables, Qu’au Palais tous les jours vont forgeant nos ſemblables.	un parfait Advocat doit sçavoir tout cela, Et pour ce rendre Illustre aller jusqu'au de là, N'ignorer ce que c'est, que ces fins dilatoires, Piramtoire de Seigneur, et fins déclinatoires, Qu'est-ce que nullités, qu'est-ce qu'originaux, Promesses et contrats, achapps, lettre royaux, Écritures publiques, Epreves, et Requêtes, Copies, Testamends, Mariages, Enquêtes, Les Contestations, Revisions, Arrets, Representations, Productions, Extraists, Papt-ce que Conclusiens au Parquet, Ordonnantes, Les Avis, au Conseils, Sentences, Et Requettes au Palais, Opposans, Pretendans, Saques, et Piesse enfin, Demandans, Deffendans, Parties Jointe, Et de plus tous ces noms innombrables, au Palais tous les jours vont forgeant nos semblables.
LISIMENE.	LISIMENE.
Je m’ennüy beaucoup	Je m'ennui beaucoup
ROSANDRE.	ROSANDRE.
Peut-on pas s’en aller?	Peut-on pas s'en aller?
LIS IMENE.	LIS IMENE.
Suivez moy dont auſſi, car je vous veux parler.	Suivez -moi dont aussi, car je vous veux parler.
BAGOLIN.	BAGOLIN.
Tout le jour faudra-t’il que j’ay la bouche clauſe?	Tout le jour faudra-t-il que j'ai la bouche clause?
Et quand diable Monſieur diray-je quelque choſe?	Et quand diable Monsieur dirai-je quelque chose?
LE DOCTEUR.	LE DOCTEUR.
Je n’ay plus qu’a parler deux heures ſeulement, Et puis, vous me pouvez repondre congrument.	Je n'ai plus qu'a parler deux heures seulement, Et puis, vous me pouvez répondre congrument.
Or donc juſtiniant, de nos illuſtre plumes, Dans Rome, ayant trouvé, deux cent mille volumes, Compoſé du depuis Juſtin, à Romulus.	Or donc justiniant, de nos illustre plumes, Dans Rome, ayant trouvé, deux cent mille volumes, Composé du depuis Justin, à Romulus.
BAGOLIN.	BAGOLIN.
La langue me demange enſin, je n’en puis plus.	La langue me demange ensin, je n'en puis plus.
LE DOCTEUR.	LE DOCTEUR.
Pour laiſſer au mortels, ſa memoire immortelle.	Pour laisser au mortels, sa mémoire immortelle.
BAGOLIN.	BAGOLIN.
Je veux parler te dis-je, ou nous aurons querelles:	Je veux parler te dis-je, ou nous aurons querelles:
LE DOCTEUR.	LE DOCTEUR.
Et que tout l’avenir profitus de ces ſoins.	Et que tout l'avenir profitus de ces soins.
BAGOLIN.	BAGOLIN.
Il va dans un moment, pleuvoir des coups de poins.	Il va dans un moment, pleuvoir des coups de poins.
LE DOCTEUR.	LE DOCTEUR.
Ayant foimé ces loix que je viens de vous dire	Ayant faimé ces lois que je viens de vous dire
BAGOLIN.	BAGOLIN.
Quoy je ne diray mot?	Quoi je ne dirai mot?
LE DOCTEUR.	LE DOCTEUR.
Je dois eſtre entendu, Car.	Je dois être entendu, Car.
vous eſtes un ſot, inſupremo gradu, Ecouté, & ſçachés que Cujas.	vous êtes un sot, insupremo gradu, Ecouté, et sachez que Cujas.
à leſchine, L’on va dans un inſtant voir battre la Doctrine.	à leschine, L'on va dans un instant voir battre la Doctrine.
BAGOLIN.	BAGOLIN.
voilà pour commancer.	voilà pour commencer.
LE DOCTEUR.	LE DOCTEUR.
Ah!	Ah!
ſuivons mon couroux, C’eſt par trop en ſouffrir, il faut donner des coups.	suivons mon courroux, C'est par trop en souffrir, il faut donner des coups.
Ah!	Ah!
j’ay le nez caſſé, mais allons qu’on ſe vange, Iln homme tel que moy, ſçay bien donner le changes Te voilà que je croy, aſſomée comme un chien, Tu n’as rien qu’a courir, chez le Chirurgien, Afin que promptement il te mette une enplatre.	j'ai le nez cassé, mais allons qu'on se venge, Iln homme tel que moi, sais bien donner chang le Te voilà que je crois, assomée comme un chien, Tu n'as rien qu'a courir, chez le Chirurgien, Afin que promptement il te mette une enplatre.
Et ſonge un autre fois alors qu’on veux ſe batre, C’eſt.	Et songe un autre fois alors qu'on veux se battre, C'est.
Mais il ne remeüe, & meſme ne dit mot?	Mais il ne remue, et même ne dit mot?
De ſe laiſſer mourir ſeroit il aſſez ſot.	De se laisser mourir serait -il assez sot.
Voyons & confirmons à mon ame allarmée?	Voyons et confirmons à mon âme alarmée?
Je penſe que ſon corps eſt reduit en fumée?	Je pense que son corps est réduit en fumée?
D’un homme fort palpable, on ne trouve plus rien, Il n’en faut plus douter, c’eſt un Magicien.	D'un homme fort palpable, on ne trouve plus rien, Il n'en faut plus douter, c'est un Magicien.
Ne perdons point de temps, faiſons venir Pancrace, Et luy montrons l’Epoux, qu’il veut mettre on ſa race.	Ne perdons point de temps, faisons venir Pancrace, Et deux montronsl’Epoux, qu'il veut mettre on sa race.
Hola vitte.	Holà vitete.
PANCRACE.	PANCRACE.
Bon jour, avez vous achevez?	Bon jour, avez vous achevez?
LE DOCTEUR.	LE DOCTEUR.
Ah!	Ah!
que je ſuis heureux de vous avoir trouvé, Laiſſez moy prendre halaine	que je suis heureux de vous avoir trouvé, Laissez -moi prendre halaine
BAGOLIN.	BAGOLIN.
Ha, que la faret eſt drolle, Mettons nous dans la robe, & finiſſons le rolle.	Ha, que la faret est drolle, Mettons nous dans la robe, et finissons le rolle.
PANCRACE.	PANCRACE.
Venez vous me donner quelques avis importans?	Venez vous me donner quelques avis importants?
1 LE	1 LE
LE DOCTEUR.	LE DOCTEUR.
Je viens vous raconter un cas oxorbitans, L’Advocat.	Je viens vous raconter un cas oxorbitants, L'Avocat.
PANCRACE.	PANCRACE.
He bien quoy;	He bien quoi;
LE DOCTEUR.	LE DOCTEUR.
N’avoit rien que l’externe, Eſtant dans l’interieur ignorant ſubalterne, Outre qu’il eſt ſans doute un inſigne ſorſier.	N'avait rien que l'externe, Étant dans l'intérieur ignorant subalterne, Outre qu'il est sans doute un insigne sotsier.
PANCRACE.	PANCRACE.
Et de plus m’a t’on dit un méchant Savetier, Qui vouloit m’attraper;	Et de plus m'a -t'on dit un méchant Savetier, Qui voulait m'attraper;
mais je le feray pendre, Ne voulant ny ſorcier, ny Savetier pour gendre.	mais je le ferai pendre, Ne voulant Seigneur sorcier, ni Savetier pour gendre.
LE COUSIN.	LE COUSIN.
Je le connois fort bien, ſon nom eſt Bagolin.	Je le connais fort bien, son nom est Bagolin.
LE DOCTEUR Sçachez qu’en nous frotant, c’eſt homme diablotin, De me voir, le plus fort prevoyant ſa disgrace, N’a laiſſé dans mes mains, qu’une robe en ſa placc.	LE DOCTEUR Sachez qu'en nous frotant, c'est homme diablotin, De me voir, le plus fort prévoyant sa disgrâce, N'a laissé dans mes mains, qu'une robe en sa placc.
Mais il eſt de retour ſaiſiſſon nous de luy.	Mais il est de retour saisisson nous de lui.
PANCRACE.	PANCRACE.
Ha pendart, je te tiens, ou du moins ton eſtuy, Allons il faut dans peu venir à la Juſtice, Et dedans un bon feu, recevoir ton ſupplice.	Ha pendard, je te tiens, ou du moins ton étui, Allons il faut dans peu venir à la Justice, Et dedans un bon feu, recevoir ton supplice.
BAGOLIN.	BAGOLIN.
Quoy, pour eſtre Advocat, il faut eſtre grillé, Ha, l’on vera bien-toſt l’Advocat depouillé, Je veux eſtre pendu, en cas qu’on m’y r’atrape.	Quoi, pour être Aduocat, il faut être grillé, Ha, l'on vera bientôt l'Advocat dépouillé, Je veux être pendu, en cas qu'on m'y raï rape.
PANCRACE.	PANCRACE.
e Tenez le bien tous deux, de crainte qu’il n’eſchapJe m’en vais appeller le Sergent du quartier, Hola.	Je Tenez le bien tous deux, de crainte qu'il n'échappe m'en vais appeler le Sergent du quartier, Holà.
PAN	PAN
PANCRACE.	PANCRACE.
Nous avons un Sorcier Qui faut mettre en priſon, ſans tarder d’avantage.	Nous avons un Sorcier Qui faut mettre en prison, sans tarder d'avantage.
Teneaslen	Teneaslen
LE DOCTEUR.	LE DOCTEUR.
N’ayez peur.	N'ayez peur.
SERGENT.	SERGENT.
Voyons le perſonnage;	Voyons le personnage;
Ah galand!	Ah galant!
je te tien, c’eſt de la part du Roy, Allons y faut marcher, vous moquez vous de moy, Pourquoy mettre en priſon cette jaquette noir?	je te tien, c'est de la part du Roi, Allons y faut marcher, vous moquez vous de moi, Pourquoi mettre en prison cette jaquette noir?
LE DOCTEUR.	LE DOCTEUR.
Il eſt plus fin que nous, autre tour de grimoir.	Il est plus fin que nous, autre tour de grimoir.
PANCRACE.	PANCRACE.
Monſieur, nous nous eſtions de ſon corps emparé, Mais comme il eſt ſorcier y s’eſt evaporé.	Monsieur, nous nous étions de son corps emparé, Mais comme il est sorcier y s'est évaporé.
SERGENT.	SERGENT.
Il faut courir aprés, mais ſi l’on vous l’ameine.	Il faut courir après, mais si l'on vous l'amène.
PANCRACE.	PANCRACE.
Et vous, & vos records, chacun aura ſa peine, Voſtre argent eſt tout preſt, s’y peut-eſtre arreſté, Mais ſans perdre de temps courons de ce coſté.	Et vous, et vos records, chacun aura sa peine, Votre argent est tout prêt, s'y peut-être arrêté, Mais sans perdre de temps courons de ce côté.
SCENE IX.	SCÈNE IX.
BAGOLIN, ſeulE n’ay jamais mieux fait, voyant cette ſequelle, Que d’avoir ſans rien dire enfillé la venelle, j'eſtois pris pour un ſot, & ſous mon habit noir, Dans une baſſe foſſe on me fut venu voir, Er l’on eut fait chanter, dans cette belle Cage, A l’Avocat bibus, un diable de ramage, Que l’Avocaſſerce, eſt un méchant mettier, Il eſt plus dangereux que d’eſtre Savetier.	BAGOLIN, seulE n'ai jamais mieux fait, voyant cette séquelle, Que d'avoir sans rien dire enfillé la venelle, j'étais pris pour un sot, et sous mon habit noir, Dans une basse fosse on me fut venu voir, Er l'on eut fait chanter, dans cette belle Cage, A l'Avocat bibus, un diable de ramage, Que l'Avocacerce, est un méchant mettier, Il est plus dangereux que d'être Savetier.
Reprenons dont ſans bruït la manicle, & la forme, Et pour eſtre Advocat, qu’on m’attende ſous l’orme, ’en avois pour mon conte, & ſi je n’eus drillé, Le pauvre Bagolin alloit eſtre eſtrillé.	Reprenons dont sans bruït Le manicle, et la forme, Et pour être Adocat, qu'on m'attende sous l'orme, 'en avais pour mon conte, et si je n'eus drillé, Le pauvre Bagolin allait être étrillé.
SCE	SCE
SCENE X LE COUSIN, SERGENT, BAGOLIN.	SCÈNE X LE COUSIN, SERGENT, BAGOLIN.
LECOUSIN.	LECOUSIN.
joilà noſtre galant, niché dans ſa boutique, Songez en le prenant, qu’il entent l’art magique, Que pour eſtre inviſible il n’a qu’à le vouloir.	joilà notre galant, niché dans sa boutique, Songez en le prenant, qu'il entent l'art magique, Que pour être invisible il n'a qu'à le vouloir.
SERGENT.	SERGENT.
Le Sorcier en nos mains, n’a plus aucun Pouvoir.	Le Sorcier en nos mains, n'a plus aucun Pouvoir.
C’eſt de la part du ſoy.	C'est de la part du soi.
BAGOLIN.	BAGOLIN.
He bien, quoy?	He bien, quoi?
SERGENT.	SERGENT.
De venir en Priſon.	De venir en Prison.
Que je vous Commande.	Que je vous Commande.
BAGOLIN.	BAGOLIN.
A vous, à voſtre bande, Je commande à mon tour, que ſans plus retarder, Vous n’ayez en ce lieu rien à me commnander.	À vous, à votre bande, Je commande à mon tour, que sans plus retarder, Vous n'ayez en ce lieu rien à me commander.
A moins que vous voulez que la Savaterie, Sans aille faire un tour, ſur voſtre friperie.	À moins que vous voulez que la Savaterie, Sans aille faire un tour, sur votre friperie.
SCENE XI.	SCÈNE XI.
PANCRACE, BAGOLIN, RECORDS, LE DOCTEUR, SERGENT.	PANCRACE, BAGOLIN, RECORDS, LE DOCTEUR, SERGENT.
PANCRACE.	PANCRACE.
JOilà noſtre Advocat, noſtre illuſtre enchant eur, Viſte, viſte, Sergent ſaiſiſſez l’impoſteur.	JOilà notre Advocat, notre illustre enchant eur, Vite, vite, Sergent saisissez l'imposteur.
BAGOLIN.	BAGOLIN.
Ah!	Ah!
vieux fols eſdanté tu veux dont qu’on m’arreſte, Ce coup eſt pour ton conte.	vieux fols esdanté tu veux dont qu'on m'arrête, Ce coup est pour ton conte.
RECORDS.	RECORDS.
Ah!	Ah!
L’épaule!	L'épaule!
LE	LE
LE DOCTEUR.	LE DOCTEUR.
Ah!	Ah!
la reſte!	la reste!
PANCRACE.	PANCRACE.
Saiſiſſez le Records.	Saisissez le Records.
SERGENT.	SERGENT.
Il nous eſt échapé, Courons aprés enfans, & qui ſoit attrapé.	Il nous est échappé, Courons après enfants, et qui soit attrapé.
SCENE XII.	SCÈNE XII.
LISIMENE, ROSANDRE.	LISIMENE, ROSANDRE.
LISIMENE.	LISIMENE.
Ouy Roſandre, il eſt temps de faire voir Roſandre C’eſt trop joüer mon Pere, & c’eſt trop l’entreprendre, L’honneur.	Oui Rosandre, il est temps de faire voir Rosandre C'est trop joüer mon Père, et c'est trop l'entreprendre, L'honneur.
mais quel grand bruit provient juſquesicy?	mais quel grand bruit provient jusquesici?
ROSANDRE.	ROSANDRE.
Ce ſera Bagolin qui fuyant.	Ce sera Bagolin qui fuyant.
le voicy.	le voici.
SCENE XIII.	SCÈNE XIII.
RECORDS, SERGENT, LISIMENE.	RECORDS, SERGENT, LISIMENE.
ROSANDRE, LE DOCTEUR, PANCRACE, LE COUSIN.	ROSANDRE, LE DOCTEUR, PANCRACE, LE COUSIN.
A RECORDS.	À RECORDS.
Rreſte, arreſte.	Rrête, arrête.
A SERGENT.	À SERGENT.
Viſte, que l’on le prenne, Il m’a tant fait courir, que j’en ſuis hors d’halaine.	Vite, que l'on le prenne, Il m'a tant fait courir, que j'en suis hors d'halaine.
RECORDS.	RECORDS.
Qu’on le prenne au collet, il doit eſtre en ces lieux, Il c’eſt evanouy tout d’un coup à nos jeux, c’eſt un franc enchanteur, l’y gagerois ma teſte, Viſitons viſitons bien partout, il faut.	Qu'on le prenne au collet, il doit être en ces lieux, Il c'est évanoui tout d'un coup à nos jeux, c'est un franc enchanteur, l'y gagerais ma tête, Visitons visitons bien partout, il faut.
arreſte, arreſte,	arrête, arrête,
LISIMENE.	LISIMENE.
La piece eſt admirable, & pour n’en rire pas, Il faudroit au plaiſirs ne trouver nul appas.	La pièce est admirable, et pour n'en rire pas, Il faudrait au plaisirs ne trouver nul appas.
RECORDS.	RECORDS.
Au Sorcier, au Sorcier.	Au Sorcier, au Sorcier.
LISIMENE.	LISIMENE.
La priſſe eſt infaillible.	La prisse est infaillible.
Daree vous .	Darée -vous .
RECORDS.	RECORDS.
SERGENT.	SERGENT.
Et deux fois qui ſe rend inviſible;	Et deux fois qui se rend invisible;
Nous le tenions au dos quand il a diſparu.	Nous le tenions au dos quand il a disparu.
LE DOCTEUR.	LE DOCTEUR.
Souvent le lievre eſt pris, quand il a bien couru, viſitons bien par tout.	Souvent le lièvre est pris, quand il a bien couru, visitons bien par tout.
BAGOLIN.	BAGOLIN.
Gagnons au pied, & viſte.	Gagnons au pied, et vite.
LE DOCTEUR.	LE DOCTEUR.
Nous tenons le Renard, il eſt pris dans le gite.	Nous tenons le Renard, il est pris dans le gite.
PANCRACE.	PANCRACE.
L’Enchanteur eſt il pris, & malgré ſon pouvoir.	L'Enchanteur est il pris, et malgré son pouvoir.
ERGENT.	ERGENT.
Il eſt dans cette caiſſe, & vous le pouvez voir.	Il est dans cette caisse, et vous le pouvez voir.
PANCRACE.	PANCRACE.
Il faut qu’à mon plaiſir maintenant je le d’aube.	Il faut qu'à mon plaisir maintenant je le d'aube.
LE DOCTEUR.	LE DOCTEUR.
Il s’eſt evanoüy, comme il fait de la Robe.	Il s'est evanoüy, comme il fait de la Robe.
Mais Chut ne ditte mot, j’apperçois ſon ſecret, Et le pendart eſt pris ſi plus y ſi remet, Il ne nous fera plus une troiziéme piece, Nous n’avons dans ce lieu qu’a remettre la caiſſe, Et s’il y rentre, encore, il faudra l’inveſtir, C’eſt un diable, s’il a le pouvoir d’en ſortir.	Mais Chut ne ditte mot, j'aperçois son secret, Et le pendard est pris si plus y si remet, Il ne nous fera plus une troizième pièce, Nous n'avons dans ce lieu qu'a remettre la caisse, Et s'il y rentre, encore, il faudra l'investir, C'est un diable, s'il a le pouvoir d'en sortir.
LE COUSIN.	LE COUSIN.
Bon, bon, que ditte vous?	Bon, bon, que ditte -vous?
une autre adreſſe preſſe, Si-toſt.	une autre adresse presse, Sitôt.
BAGOLIN.	BAGOLIN.
Bon jour, bon jour.	Bon jour, bon jour.
RECORDS.	RECORDS.
Arreſte, arreſte.	Arrête, arrête.
LISIMENE.	LISIMENE.
Bagolin comme il faut, egaye ſes Eſprits, Ce trait qui les ſurprent, m’a dans l’abord ſurpris.	Bagolin comme il faut, égaye ses Esprits, Ce trait qui les surprent, m'a dans l'abord surpris.
ROSANDRE.	ROSANDRE.
Ouy, je trouve à mon ſens l’invention jolie, Elle ſeroit plaiſante, en une Comedie;	Oui, je trouve à mon sens l'invention jolie, Elle serait plaisante, en une Comédie;
Mais encore une fois les voicy de retour.	Mais encore une fois les voici de retour.
RECORDS.	RECORDS.
Au Sorcier, au Sorcier.	Au Sorcier, au Sorcier.
LE DOCTEUR.	LE DOCTEUR.
Mettez vous à l’entour, Il vous a dit bon ſoir, donnez luy le bon jour.	Mettez -vous à l'entour, Il vous a dit bon soir, donnez lui le bon jour.
PANCRACE.	PANCRACE.
Ah!	Ah!
Sorciez mon amy, ta magie eſtant vaine, De m’avoir fait courir, tu payeras la peine, Il faut dans un cachot, le faire dégoiſſer.	Sorciez mon ami, ta magie étant vaine, De m'avoir fait courir, tu payeras la peine, Il faut dans un cachot, le faire dégoisser.
LISIMENE.	LISIMENE.
Non mon Pere, il eſt temps de vous desabuſer, C’eſt homme eſt innocent, mais puis qu’il faut tout dire, Tout & qu’il s’eſt paſſé, ne s’eſt fait que pour rire.	Non mon Père, il est temps de vous désabuser, C'est homme est innocent, mais puis qu'il faut tout dire, Tout et qu'il s'est passé, ne s'est fait que pour rire.
Bagolin?	Bagolin?
PANCRACE.	PANCRACE.
BAGOLIN.	BAGOLIN.
Bagolin, bien loin d’eſtre Sorcier, N’a jamais eu l’eſprit que d’eſtre Savetier.	Bagolin, bien loin d'être Sorcier, N'a jamais eu l'esprit que d'être Savetier.
LISIMENE.	LISIMENE.
Mon Pere connoiſſez.	Mon Père connaissez.
PANCRACE.	PANCRACE.
Qui ma fille?	Qui ma fille?
LISIMENE.	LISIMENE.
Roſandre.	Rosandre.
ROSANDRE.	ROSANDRE.
Qui pretend à l’honneur, de ce voir voſtre gendre;	Qui prétend à l'honneur, de ce voir votre gendre;
une lettre fait foy, de ce que je vous dis:	une lettre fait foi, de ce que je vous dis:
Je ſuis pour ce ſujet arrivé de Paris, J’ay faiſly vous joüant, mais pour r’avoir ma grace.	Je suis pour ce sujet arrivé de Paris, J'ai faisli vous jouant, mais pour ravoir ma grâce.
PAN	PAN
PANCRACE.	PANCRACE.
Roſandre mon enfant, ah!	Rosandre mon enfant, ah!
que je vous embraſſe, Liſimene eſt à vous, puis que je l’ay promis, Je ne pouvois trouver un plus aimable fils.	que je vous embrasse, Lisimène est à vous, puis que je l'ai promis, Je ne pouvais trouver un plus aimable fils.
ROSANDRE.	ROSANDRE.
C’eſt le meilleur effet de ma bonne fortune;	C'est le meilleur effet de ma bonne fortune;
Monſieur.	Monsieur.
SERGENT.	SERGENT.
PANCRACE.	PANCRACE.
Je vous entens, voilà de la pequeune, Pour vous le cher amy, vous ſerez du feſtin.	Je vous entends, voilà de la péqueune, Pour vous le cher ami, vous serez du festin.
LE DOCTEUR.	LE DOCTEUR.
Le Philoſophe dit, que quand un bon deſſein.	Le Philosophe dit, que quand un bon dessein.
BAGOLIN.	BAGOLIN.
Et le pauvre Advocat n’aura rien pour ſa peine?	Et le pauvre Advocat n'aura rien pour sa peine?
ROSANDRÉ.	ROSANDR.
Bagolin, dix louis, ſeront pour ton Eſtrene.	Bagolin, dix louis, seront pour ton Estrene.
rort bien.	rort bien.
BAGOLIN.	BAGOLIN.
PANCRACE.	PANCRACE.
Rentrons, & des demain ſans perdre ple de temps, Rendons par cette himene, tous vos deſirsconrent	Rentrons, et des demain sans perdre ple de temps, Rendons par cette hymène, tous vos désirsconrent
