A GRENOBLE,	À GRENOBLE,
Le Coftre fort d’un Gaſcoi pezant trois grains de bled avec tout ce qui eſt dedans;	Le Coftre fort d'un Gascoi pezant trois grains de bled avec tout ce qui est dedans;
mais!	mais!
ce qu’il y a de plus curieux c’eſt une Pendule qui marque l’heure d’emprunter, & jamais celle de paver, Ouvrage tres-utile pour quantité d’Officiers re venus de l’armée.	ce qu'il y a de plus curieux c'est une Pendule qui marque l'heure d'emprunter, et jamais celle de paver, Ouvrage très -utile pour quantité d'Officiers re venus de l'armée.
LE DOCT.	LE DOCT.
EUR.	EUR.
quepouovoncauuleque couz avoir une à quel prix que ce ſoit.	quepouovoncauuleque couz avoir une à quel prix que ce soit.
ARLEQUIN.	ARLEQUIN.
A prefent ces Ouvrages là ne ſe vendent plus, on en fait les Louteries, & depuis qu’on ne uome pias de jettons dans les compagnies, ce ſont les Orlogers qui les diſtribuënt.	À présent ces Ouvrages là ne se vendent plus, on en fait les Louteries, et depuis qu'on ne ome pias de jetons dans les compagnies, ce sont les Orlogers qui les distribuënt.
LEDOCIEON.	LÉDOCIEON.
Eh bien je prendray des billets de Lotterie.	Eh bien je prendrai des billets de Lotterie.
ARLEQUIN.	ARLEQUIN.
Vous ferez fort bien, vous avez la Phiziouomie heureuſe, & je crois que vous gagnerez le gros Lot.	Vous ferez fort bien, vous avez la Phiziouomie heureuse, et je crois que vous gagnerez le gros Lot.
Voilà le Cadran du Zodiaque.	Voilà le Cadran du Zodiaque.
On ouvre.	On ouvre.
LE DOCTEUR.	LE DOCTEUR.
Ah ah!	Ah ah!
je vois dans voſtre Zodiaque des ſignes que je ne conuois point.	je vois dans votre Zodiaque des signes que je ne convois point.
ARLEQUIN.	ARLEQUIN.
Ce ſont tous ſignes ſimboliques & miſtetieux que j’ay mis à la place des anciens, je teforme le Lodiaque comme il me plaiſt.	Ce sont tous signes symboliques et mistetieux que j'ai mis à la place des anciens, je teforme le Lodiaque comme il me plaît.
LE DOCTEUR.	LE DOCTEUR.
oubutune qupavoir mis un Procuteur parmy les aſtres.	oubutune qupavoir mis un Procuteur parmi les astres.
ARLEQUIN.	ARLEQUIN.
C’eſt moy qui l’ay mis à la place du Cancre.	C'est moi qui l'ai mis à la place du Cancre.
Celuy que vous voyez en ſigne, Eſtoit un Procureur iuſigne Que je nommai cancre ou vilain, Pour m’avoir fait mouiir de faim Quand j’étois Clerc ſous ſa ferulle, On euteudoit à la peuaule Sonner l’heure du coucher Avant celle du ſouper.	Celui que vous voyez en signe, Était un Procureur iusigne Que je nommai cancre ou vil, Pour m'avoir fait mouiir de faim Quand j'étais Clerc sous sa ferlle, On euteudait à la peuaule Sonner l'heure du coucher Avant celle du souper.
LE DOCTEUR.	LE DOCTEUR.
Qu’eſt-ce que c’eſt que cette fille avec un trebuchet à la main?	Qu'est-ce que c'est que cette fille avec un trébuchet à la main?
ARLEQUIN.	ARLEQUIN.
Au lieu de ſigne on a pris ſoin, De mettre en cet endroit l’Epiciere du coin, La Balance autrefois ſervoit à la Juſt:	Au lieu de signe on a pris soin, De mettre en cet endroit l'Épicière du coin, La Balance autrefois servait à la Jut:
ce, Maintenant au Palais ce meuble eſt ſuperflus, Et l’on ne s’en ſert preſque plus, Qu’à pezer le ſucre & l’épice.	ce, Maintenant au Palais ce meuble est superflus, Et l'on ne s'en sert presque plus, Qu'à pezer le sucre et l'épice.
LE DOCTEUR.	LE DOCTEUR.
Eh.	Eh.
voiſa un homme qui me reſſemble.	voisa un homme qui me ressemble.
ARLEQUIN.	ARLEQUIN.
C'eſt le Caprieorne.	C'est le Capprieorne.
Quoique ce Chef cornu contienne une Satire, Je ne veux tien vous dire, Sur un ſujet ſi beau Pour un' Epoux content que mes vers feroient rire, Mille enrageroient dans leur peau.	Quoique ce Chef cornu contienne une Satire, Je ne veux tien vous dire, Sur un sujet si beau Pour un Époux content que mes vers feraient rire, Mille enrageraient dans leur peau.
LE DOCTEUR.	LE DOCTEUR.
Y a-t-il des malades dans le Firmament, Que j'y vois un Carabinier de la faculté.	Y a-t-il des malades dans le Firmament, Que j'y vois un Carabinier de la faculté.
ARLEQUIN.	ARLEQUIN.
J'ay mis au lieudu Sagittaire Ce venstable Aporiquaite, Tout viſage ſans nez fiemit à ſon aſpest.	J'ai mis au lieudu Sagittaire Ce venstable Aporiquaite, Tout visage sans nez fiemit à son aspest.
ẽt ly s’agnoüillaut de cirile maniere misa ſuane avuasestece	Ut li s'agnoüillaut de cirile manière misa suane avuasestece
LE DOCTEUR.	LE DOCTEUR.
Eſt-ce qu’il y a quelque ſigne de mort que je vois une place vaquante.	Est-ce qu'il y a quelque signe de mort que je vois une place vaquante.
ARLEQUIN.	ARLEQUIN.
l’ay cherché vainement par tout noſtre Hemiſphere, Une fille pour mettre au ſigne de Virge;	l'ai cherché vainement par tout notre Hémisphère, Une fille pour mettre au signe de Virge;
Mais par le premier ordinaire Il m’en vient uns de Congo.	Mais par le premier ordinaire Il m'en vient uns de Congo.
Que unes-vous de ces Gemcaul-lat	Que unes-vous de ces Gemcaulat
LE DOCTEUR.	LE DOCTEUR.
Octave & Angelique qui s’embraſſent.	Octave et Angélique qui s'embrassent.
ARLEQUIN.	ARLEQUIN.
Vous l’avez dit Docteur les Gemini ſont morts;	Vous l'avez dit Docteur les Gemini sont morts;
Mais ces deux grands Gemeaux que vous voyez paroiſtre, Ne faiſant plus qu’un en deux corps Malgré vous en feront renaiſtre.	Mais ces deux grands Gemeaux que vous voyez paraître, Ne faisant plus qu'un en deux corps Malgré vous en feront renaître.
Mx M d eso Allez-vous en au diable avec voſtre Lodiaque.	Mx M ô Allez-vous en au diable avec votre Lodiaque.
ARLEQUIN.	ARLEQUIN.
Tour vous detienee je d’en vais vous ſaire entendre mon carillon.	Tour vous détiene je d'en vais vous zaïre entendre mon carillon.
Le Temps ſe détache & chante.	Le Temps se détache et chante.
LE TEMPS.	LE TEMPS.
Ton temps, ton temps eſt paſſé, Ton timb.	Ton temps, ton temps est passé, Ton timb.
ton timbre eſt caſſé, Tu t’en tu t’en vas ſinir ta catriere, Ne prens point de femme;	ton timbre est cassé, Tu t'en tu t'en vas sinir ta catrière, Ne prends point de femme;
car Au lieu de ſonner l’heure entiere Ta ne ſonncrois que le quart.	car Au lieu de sonner l'heure entière Ta ne sonncrais que le quart.
LE CAPVERD.	LE CAPVERD.
SCENE I.	SCÈNE I.
ARLEQUIN, en Empereur Mh etl iers.	ARLEQUIN, en Empereur Mh etl jers.
E ſuis Prince de la verdure, J Le Teinturier en verd de toute la natute, On ne me prend jamais ſans verd;	E suis Prince de la verdure, J Le Teinturier en verd de toute la natute, On ne me prend jamais sans verd;
Singes & Perroquets ſont ſous ma Seigneurie, Roy des Serins de Canarie;	Singes et Perroquets sont sous ma Seigneurie, Roi des Serins de Canarie;
Je m’appelle en un mot l’Empereur du Cap Verd.	Je m'appelle en un mot l'Empereur du Cap Verd.
Je bois pour me tenir toûjours la teſte verte;	Je bois pour me tenir toujours la tête verte;
Vin de Vauver, Verjus, Verdée & Ver-degris Chez moy les Ragoûts ſont vernis, Tout s’y mange à la ſauce verte;	Vin de Vauver, Verjus, Verdée et Ver-degris Chez moi les Ragoûts sont vernis, Tout s'y mange à la sauce verte;
Et mon Cuiſinier depuis peu Fut pendu par mon ordre en la place publique, Pour m’avoir à ſoupé contre ma politique, Fait ſervir une Carpe au bleu.	Et mon Cuisinier depuis peu Fut pendu par mon ordre en la place publique, Pour m'avoir à soupé contre ma politique, Fait servir une Carpe au bleu.
C’eſt ici que l’on voit un Serail à loüer, Femme à vendte ou Femme à donner.	C'est ici que l'on voit un Serail à louer, Femme à vendte ou Femme à donner.
Si je voulois en acheter Je ne pourrois au quel entendre, Combien en ce lieu de Maris M'ameneroient leurs Femmes vendre.	Si je voulais en acheter Je ne pourrais au quel entendre, Combien en ce lieu de Maris M'amèneraient leurs Femmes vendre.
Et m’en feroient fort juſte prix.	Et m'en feraient fort juste prix.
Vous trouverez ici de quoy vous ſatïsfaire A bouche que veux-tu;	Vous trouverez ici de quoi vous satisfaire A bouche que veux-tu;
je donne aux Epou.	je donne aux Épou.
ſeurs, Du blond, du brun, du roux, enfin j’ay de quoy faire Des Cocus de toutes couleurs.	sûrs, Du blond, du brun, du roux, enfin j'ai de quoi faire Des Cocus de toutes couleurs.
Vous, Geolliers biſtournez, qui pour ma ſeureté, De mes meuus plaiſirs conſervez les ſerrures A mes oyſeaux privez donnez la liberté, Qu’ils viennent chercher leurs paſtures.	Vous, Geolliers bistournez, qui pour ma sûreté, De mes meuds plaisirs conservez les serres À mes oiseaux privé donnez la liberté, Qu'ils viennent chercher leurs pâtures.
SCENE II.	SCÈNE II.
ARLEQUIN, PIERROT.	ARLEQUIN, PIERROT.
PIERROT.	PIERROT.
Onſieur, voila bien des gens là qui deN mandent à ſe marier;	Onsieur, voilà bien des gens -là qui deN mandent à se marier;
il y en a un entr'autres qui dort toûjours, & demande une femme.	il y en a un entr'autres qui dort toujours, et demande une femme.
44 La foire S.	44 La foire S.
Germain,	Germain,
ARLEQUIN.	ARLEQUIN.
Il dort & demande une Femme;	Il dort et demande une Femme;
il rêve donc.	il rêve donc.
Fais-le entrer.	Fais-le entrer.
SCARAMOUCHE, en manteau fouré & en bonnet de nuit.	SCARAMOUCHE, en manteau fouré et en bonnet de nuit.
1.	1.
ARLEQUIN.	ARLEQUIN.
eoanmo donus;	eoanmais donus;
Oûjours je dors, toûjours je baille.	Ouijours je dors, toujours je baille.
ARLEQUIN Qui vous fit ſous le nez une ſi grande entaille?	ARLEQUIN Qui vous fit sous le nez une si grande entaille?
SCAR AMOUCHE.	SCAR AMOUCHÉE.
En mariage ici je viens m'appareiller.	En mariage ici je viens m'appareiller.
ARLEQUIN.	ARLEQUIN.
1 - Il faut vous marier avec un Oreiller.	1 - Il faut vous marier avec un Oreiller.
SCARAMOUCHE.	SCARAMOUCHE.
2 Non, Monſieur, il me faut uue Femme gaillarde, Quelque jeune égrillarde Qui chante pour me réveiller,	2 Non, Monsieur, il me faut ève Femme gaillarde, Quelque jeune égrillarde Qui chante pour me réveiller,
ARLEQUIN.	ARLEQUIN.
Pemme trop éveillée & mary qui ſommeille, Ne peuvent long-tems s’accorder, Toujours au chant du Coq la Poulle ſe reveille;	Pemme trop éveillée et mari qui sommeille, Ne peuvent longtemps s'accorder, Toujours au chant du Coq la Poule se réveille;
Mais quand le Coq s’endort la Poulle a beau chanter, Elle n’eſt point entenduë, De lopoun cutomnaue lu Duut contmue, L’oblige b’en à déchanter.	Mais quand le Coq s'endort la Poule a beau chanter, Elle n'est point entendue, De lopoun cutomnaue lu Duut contue, L'oblige b'en à déchanter.
SCARAMOUCHE.	SCARAMOUCHE.
Plus d’un mary qui m’écoute, Comme moy quelquefois voudroit dormir Olen tort 5.	Plus d'un mari qui m'écoute, Comme moi quelquefois voudrait dormir Olen tort 5.
Car quand on dort On ne voit goute.	Car quand on dort On ne voit goute.
ARLEQUIN.	ARLEQUIN.
Il ne faut pourtant pas dormir quand il eſt queſtion de choiſir une femme, & les plus clairs-voyans n’y voient pas trop clait.	Il ne faut pourtant pas dormir quand il est question de choisir une femme, et les plus clairs-voyants n'y voient pas trop clait.
Je m’en vais t’en donner une qui chantera toûjours.	Je m'en vais tendonner une qui chantera toujours.
UNE SULTANE chante.	UNE SULTANE chante.
Eſpoux qui poſſedez un ohjet plein d’appaz Ne vous endormez pas.	Époux qui possédez un ohjet plein d'appas Ne vous endormez pas.
Gardez-bien voſtre conqueſte Contre les veilles d un Amant:	Gardez-bien votre conquête Contre les veilles d unTant:
Car biett ſouvent un mary ſe reveille Avec un mal de teſte Qu’il n’avoit pas en s’endormant.	Car biett souvent un mari se réveille Avec un mal de tête Qu'il n'avait pas en s'endormant.
ARLEQUIN.	ARLEQUIN.
chante.	chante.
La femme eſt une place ennemie Que toſt ou tard on aſſiegera, Il faut toûjours qu’un mary crie, Qni vive, qui vive, qui va là;	La femme est une place ennemie Que tôt ou tard on assiégera, Il faut toujours qu'un mari crie, Qni vive, qui vive, qui va là;
Veille qui pourta, Si la ſentinelle eſt endormie, Dans le Corps-de-garde entrera.	Veille qui pourta, Si la sentinelle est endormie, Dans le Corps-de-garde entrera.
SCENE IV.	SCÈNE IV.
ARLEQUIN, MEZETTIN en ſautant.	ARLEQUIN, MEZTTIN en sautant.
MELETEI vinim.	MELETEI vinim.
Onſieur, vous voyez un homme dans Mle dernier deſeſpoir.	Onsieur, vous voyez un homme dans Mle dernier désespoir.
ARLEQUIN.	ARLEQUIN.
A vous voir rire & dancer on ne le croiroit jamais.	À vous voir rire et dancer on ne le croirait jamais.
MEZETTIN riant.	MEZETIN riant.
Je vieus de perdle uu graud procés.	Je vieus de perdle u graud procès.
ARLEQUIN.	ARLEQUIN.
Il n’y a pas la trop de quoy rire.	Il n'y a pas la trop de quoi rire.
MEZETTIN pleurant.	MEZETIN pleurant.
Mais ce qui me conſole, c’eſt que je ſuis délivré par Arreſt de ma premiete femme.	Mais ce qui me console, c'est que je suis délivré par Arrêt de ma premiète femme.
M Il n’y a pas là de quoy pleuter.	M Il n'y a pas là de quoi pleuter.
MEZETTIN riant.	MEZETIN riant.
Elle m’a accuſé enJuſtice de n’eſtre mary que pour la forme, & m'a fait declarer vieux à la fleur de mon âge.	Elle m'a accusé enJaptice de n'être mari que pour la forme, et m'a fait déclarer vieux à la fleur de mon âge.
ARLEQUIN.	ARLEQUIN.
Eh!	Eh!
que diable d’homme eſt-ce donc cela?	que diable d'homme est-ce donc cela?
il pleure quand il faut rire, & il rit quand il faut pleurer:	il pleure quand il faut rire, et il rit quand il faut pleurer:
C’eſt-à-dire que vous eſtes dans la liſte de fr gidis & maleficiatis.	C'est-à-dire que vous êtes dans la liste de fr gidis et maleficiatis.
MEZETTIN.	MEZETIN.
Une goguenatde de ſervante m’accuſa auſſi d’eſtie le pere d’un enfaut, parce qu’il me reſſembloit.	Une goguenatde de servante m'accusa aussi d'étie le père d'un enfaut, parce qu'il me ressemblait.
E.	E.
ARLEQUIN.	ARLEQUIN.
S’il falloit adopter tous.	S'il fallait adopter tous.
les enfans qui nous teſſemblent, & rejetter ceux qui ne nous reſſemblent pas, on verroit un beau?	les enfants qui nous tessemblent, et rejeter ceux qui ne nous ressemblent pas, on verrait un beau?
broüillamini dans les familles.	brouillamini dans les familles.
MEZETTIN.	MEZETIN.
De deux procés oppoſez je me flattois d’en gagner un.	De deux procès opposez je me flattais d'en gagner un.
Eh bien:	Eh bien:
ARLEQUIN.	ARLEQUIN.
MEZETTIN riant:	MEZETIN riant:
Je les ay perdus tous deux:	Je les ai perdus tous deux:
Les mémes ſuges le même jour ont dit que j’étois oüy & non & m’ont condamné aux dépens.	Les mêmes suges le même jour ont dit que j'étais oui et non et m'ont condamné aux dépens.
ARLEQUIN chante:	ARLEQUIN chante:
Aprés un pareil procés.	Après un pareil procès.
Crois-moy ne plaide jamais, Dans la même occaſion T’antoſt on dit oüy, tantoſt on dit non.	Crois-moi ne plaide jamais, Dans la même occasion T'antôt on dit oui, tantôt on dit non.
Par Arreſt te voilà donc Declaré cocq & chapon.	Par Arrêt te voilà donc Déclaré coc et chapon.
ARLEQUIN.	ARLEQUIN.
Tiens voilà une femme que je te veux donſer qui à elte auticiois Seim de Ganarie.	Tiens voilà une femme que je te veux donser qui à elle auticiais Seim de Ganarie.
MEZETTIN.	MEZETIN.
Bon cela ne ſe peut pas.	Bon cela ne se peut pas.
ARLEQUIN.	ARLEQUIN.
Parlez, n’eſt-il pas vray belle Viſionnaire, Que vous avez jadis chanté dans ma VoAlelor	Parlez, n'est-il pas vrai belle Visionnaire, Que vous avez jadis chanté dans ma VoAlelor
COLOMBINE en Sultane.	COLOMBINE en Sultane.
Oüy Seigneur, & c’eſt aujourd’huy Ce qui fait mon mortel ennuy;	Oui Seigneur, et c'est aujourd'hui Ce qui fait mon mortel ennui;
Lorſque j’étois Serin de Canarie Je paſſois plaiſamment la vie, On m’a, croyant me faire un plaiſir ſingulier Naſuralizé fille, ah!	Lorsque j'étais Serin de Canarie Je passais plaisamment la vie, On m'a, croyant me faire un plaisir singulier Nasuralisé fille, ah!
le triſte métief.	le triste métief.
ARLEQUIN.	ARLEQUIN.
Vous avez tort d’avoir tant d’amertume, La belle autrefois beſte à plume, C’eſt un ſort plein d’attraits, D'eſtre jeune fille au teint ſrais.	Vous avez tort d'avoir tant d'amertume, La belle fois bête à plume, C'est un sort plein d'attraits, D'être jeune fille au teint srais.
COLOMBINE.	COLOMBINE.
Quand du Soleil la lumiere inégale Sur la terre s’affoibliſſoit, Sans redouter l’éclat, ſans craindre le ſcandale, Je couchois où bon me ſembloit, Sans appeller ny Parens ny Notaire;	Quand du Soleil la lumière inégale Sur la terre s'affaiblissait, Sans redouter l'éclat, sans craindre le scandale, Je couchais où bon me semblait, Sans appeler ni Parentsîle Notaire;
Je choiſiſſois l’Epoux qui ſçavoit mieux me plaire, Nous goûtions un heureux deſtin, Et mon Epoux eſtoit certain, Que de tous ſes petits il étoit le vray pere.	Je choisissais l'Époux qui savait mieux me plaire, Nous goûtions un heureux destin, Et mon Époux était certain, Que de tous ses petits il était le vrai père.
ARLEQUIN.	ARLEQUIN.
Ceux que le Dieu d’Hymen attrape au trebuchet, Ne ſont pas ſi ſeurs de leur fait, Et tel ſe voit d’enfans une longue lignée;	Ceux que le Dieu d'Hymen attrape au trébuchet, Ne sont pas si sûrs de leur fait, Et tel se voit d'enfants une longue lignée;
Qui n’a fait que preſter ſon nom à la Couvée.	Qui n'a fait que prêter son nom à la Couvée.
COLOMBINE.	COLOMBINE.
Sans aller en juſtlce attaquer les défauts De ces Maris feoids od brutaux, Dés qu’un nouveau venu me plaiſoit davantage, Je rompois net mon Mariage, Sans craindre que par des Arreſts On eut droit de me mettre en cage, Et le Printemps prochain j’aſſois ſous un Feüillage Me marier ſur nouveaux frais.	Sans aller en justlce attaquer les défauts De ces Maris feoids ods odeurs, Dés qu'un nouveau venu me plaisait davantage, Je rompais net mon Mariage, Sans craindre que par des Arrêts On eut droit de me mettre en cage, Et le Printemps prochain j'assois sous un Fueillage Me marier sur nouveaux frais.
ARLEQUIN à Mezettin.	ARLEQUIN à Mezettin.
Prends de ma main cette fille prudente, De crainte d’effleurer ta tepu:	Prends de ma main cette fille prudente, De crainte d'effleurer ta tepu:
ation.	ation.
Tu la verras changer de Naris plus de trente, Avant que demander la ſeparation;	Tu la verras changer de Naris plus de trente, Avant que demander la séparation;
Mais avec elle ſeras-tu ouy ou non.	Mais avec elle seras-tu oui ou non.
MEZETTIN chante, Je ſuis oüy, je ſuis non.	MEZETIN chante, Je suis oui, je suis non.
Selon l’occaſion, La choſe eſt incertaine, Je ſuis toûjours oüy Chez la femme d’autruy;	Selon l'occasion, La chose est incertaine, Je suis toujours oui Chez la femme d'autrui;
Mais je ſuis non avec la mienne.	Mais je suis non avec la mienne.
ARLEQUIN chante.	ARLEQUIN chante.
Dedans tes champs, Seme, arroſe, détriche, Plante ch teus temps Si tu veux eſtre riche;	Dedans tes champs, Same, arrose, détriche, Plante ch teus temps Si tu veux être riche;
Mais, A laiſſer ſa femme en friche On ne s’appauvrit jamais.	Mais, À laisser sa femme en friche On ne s'appauvrit jamais.
ARLEQUIN.	ARLEQUIN.
Sois complaiſant, Affable & Debonnaire, Traitte ta femme avec douce maniere, Mais, Quand elle eſt dans la Riviere Ne l’en retire jamais.	Sois complaisant, Affable et Débonnaire, Traite ta femme avec douce manière, Mais, Quand elle est dans la Rivière Ne l'en retire jamais.
ARLEQUIN chante a l’antropophage.	ARLEQUIN chante a l'antrophage.
Pour vous Monſieur le Sauvage, Ne faites pas le méchant, Quatre jours de Mariage Vous rendiont moins violent, Quand on voit un beau viſage, On croit d’abord faire rage;	Pour vous Monsieur le Sauvage, Ne faites pas le méchant, Quatre jours de Mariage Vous rendiont moins violent, Quand on voit un beau visage, On croit d'abord faire rage;
Mais ſon approche nous iend Doux & ſouple coime un gand.	Mais son approche nous iend Doux et souple coime un gand.
I ij	I ij
LA PETITE FILLE chante dans ſa cage.	LA PETITE FILLE chante dans sa cage.
Vous qui vous mocquez par vos ris De ma figure en cage, Parmy vous autres beaux eſprits Il s’en trouve je gage, Qui vouuroient bien au meme prix Revenir à mon âge.	Vous qui vous mocquez par vos ris De ma figure en cage, Parmi vous autres beaux esprits Il s'en trouve je gage, Qui vouraient bien au même prix Revenir à mon âge.
LA CHANTEUSE chante.	LA CHANTEUSE chante.
La Foire eſt un Serrail fecond Qui peupleroit la France, Force Mariages s’y font saiis Contract ny duſance;	La Foire est un Serrail fécond Qui peuplerait la France, Force Mariages s'y font ais Contrat ny dusance;
Meſſieurs la Foire eſt ſur le Pont, Venez en diligence.	Messieurs la Foire est sur le Pont, Venez en diligence.
ARLEQUIN chante.	ARLEQUIN chante.
Par quelqu’agreable Chanſon Filouter l’Auditoire, rut laj coupoi ooutre de cordons Voilà noſtre Grimoire;	Par quelqu'agréable Chanson Filouter l'Auditoire, rut la coupoi ooutre de cordons Voilà notre Grimoire;
Car icy nous nous entendons Comme Larrons en Foire.	Car ici nous nous entendons Comme Larrons en Foire.
LA CHANTEUSE.	LA CHANTEUSE.
Tel qui ſa femme tous les jouts A la Foire accompagne, Ne voit pas en certains détours Les Rivaux en campagne;	Tel qui sa femme tous les jouts A la Foire accompagne, Ne voit pas en certains détours Les Rivaux en campagne;
Un Mary ne ſçait pas toûjours Les Foires de Champagde.	Un Mari ne sait pas toujours Les Foires de Champagde.
ARLEQUIN.	ARLEQUIN.
Meſſieurs de bon cœur recevez La Piece qu’on vous donne, Demain nos vœux ſeront comblez, Si voſtre argent foizonne, Si les Marchands ſont aſſemblez La Foire ſera bonne.	Messieurs de bon cœur recevez La Pièce qu'on vous donne, Demain nos vœux seront comblés, Si votre argent faizonne, Si les Marchands sont assemblez La Foire sera bonne.
LA CHANTEUSE chante au Docteur, Il faut que tout Vieillard usé Renonce au Mariage, Si vous en eſtes euteſté Prenez fille à cet âge, Et pour plus grande ſeureté Vous la mettrez en cage.	LA CHANTEUSE chante au Docteur, Il faut que tout Vieillard usé Renonce au Mariage, Si vous en êtes eutesté Prenez fille à cet âge, Et pour plus grande sûreté Vous la mettrez en cage.
MEZETTIN chante.	MEZETIN chante.
Deux troupes de Marchands forains ne aunt s ssasu e Mais ſi pour les Italiens Voſtre bon gouſt s’explique, Bien-toſt quelqu'un des deux Voiſins Fermera la Boutique.	Deux troupes de Marchands forains ne aunt susasu e Mais si pour les Italiens Votre bon goût s'explique, Bientôt quelqu'un des deux Voisins Fermera la Boutique.
I iij.	I Jij.
ARLEQIUN chante.	ARLÊQIUN chante.
Quoique le pauvre Italien Ait eû plus d’une ciize;	Quoique le pauvre Italien Ait eu plus d'une cize;
Les jaloux ne luy prennent rien De voſtre chalandiſe, Le parterre ſe connoiſt bien En bonne marchandiſe.	Les jaloux ne force prennent rien De votre chalantise, Le parterre se connaît bien En bonne marchandise.
Quand on demande bis, Puiſque vous le voulez ainſi Contentons voſtre envie;	Quand on demande bis, Puisque vous le voulez ainsi Contentons était envie;
Mais faites-donc Chorus auſſi, Car j’aime l’harmonie, Demain vous ſerez bis icy, Mon Seriail vous en prie.	Mais faites-donc Chorus aussi, Car j'aime l'harmonie, Demain vous serez bis ici, Mon Seriail vous en prie.
